"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30","Dim.31","Dim.32","Dim.33","Dim.34","Dim.35","Dim.36","Dim.37","Dim.38","Dim.39","Dim.40","Dim.41","Dim.42","Dim.43","Dim.44","Dim.45","Dim.46","Dim.47","Dim.48","Dim.49","Dim.50","Dim.51","Dim.52","Dim.53","Dim.54","Dim.55","Dim.56","Dim.57","Dim.58","Dim.59","Dim.60","Dim.61","Dim.62","Dim.63","Dim.64","Dim.65","Dim.66","Dim.67","Dim.68","Dim.69","Dim.70","Dim.71","Dim.72","Dim.73","Dim.74","Dim.75","Dim.76","Dim.77","Dim.78","Dim.79","Dim.80","Dim.81","Dim.82","Dim.83","Dim.84","Dim.85","Dim.86","Dim.87","Dim.88","Dim.89","Dim.90","Dim.91","Dim.92","Dim.93","Dim.94","Dim.95","Dim.96","Dim.97","Dim.98","Dim.99","Dim.100","Dim.101","Dim.102","Dim.103","Dim.104","Dim.105","Dim.106","Dim.107","Dim.108","Dim.109","Dim.110","Dim.111"
"Merck",1.48441908983353,-0.475187169782196,0.298444082994081,-0.514284350837747,-0.217733546508094,-0.239076729007797,0.673477821394785,1.03015457511904,-0.910671220024247,-0.271124598320082,-0.0554135323303492,-0.472471338853537,0.307742920819206,-0.581490065608941,-0.6107638791641,1.19461498329526,1.46516465111396,0.110986878121129,0.427224512807373,-0.236639124183053,0.146560648047195,-0.0242057086491606,0.242939901980398,-0.0913465683178461,-0.444305999840705,0.485908073209953,-0.466498720679443,-0.645695527763202,-0.070911700366816,0.0611459226560757,0.264209589438334,-0.12869773289535,-0.0671304797915367,0.0663029985740275,0.0649190092456187,0.0929999620604779,0.106062276693889,0.514820402162665,0.296999504055028,-0.0232855176059087,-0.0989964005621277,-0.160405268077649,0.249391198338783,0.592781173040674,-0.246687713946856,0.05961286305408,1.08707662737414,-1.28339898070369,0.00915186710622477,-1.44717015205209,-0.694288082088615,0.56361524052976,0.485133551789418,-0.768452317466846,-0.404646064974501,0.538193188779609,-0.0672524329055111,0.0348900846954956,0.270206361777472,-0.0427442750929406,0.417294985975647,-0.743906941477462,0.543542018561795,0.340770511677625,-0.0358342640740792,0.0798759465021347,-0.343006958224237,-0.00257116971373777,-0.05582471337781,0.666093212561541,0.242308032305616,-0.0252815198255717,0.564884738144541,-0.100309174452862,-0.585157834180852,-0.434251298507714,0.184554873648545,-0.717537696196623,0.181899183363687,-0.24962134821581,-0.384582515192021,0.656797038219044,-0.0573928642291185,0.316020165763988,0.290925390548943,0.147227087922289,-0.14574311063991,0.132182234209524,-0.626958615743761,0.192055710359193,0.23273041591308,-0.288772084159196,0.181885610455942,-0.0817019050750199,-0.00454045628057115,-0.171832694516175,0.0287897026832001,-0.224707244626259,-0.175546944858601,0.236093863078949,-0.339785033534834,-0.245358231291692,-0.106384176564104,0.349798750311813,-0.0954916323389691,-0.218933571108518,-0.388552254219303,0.103130425400024,0.0818652781327223,-0.0424851260869121,-4.67961093536194e-05
"CaixaBank, S.A.",0.354947357233231,-0.586251352123423,-1.23349997115013,0.912244482491017,-1.12684959949397,0.223125976539948,-0.573281531781824,-1.8151081838678,1.34621097928916,0.953518926771033,-0.344954528953508,-0.0541881904226343,1.61368791417349,-0.0521431014820175,0.496860644055024,0.0355002678174136,1.06826114368705,0.0535593733842782,0.654708357625661,0.363297463187703,0.217267108728128,0.21820294977241,0.702450172864728,0.309279805917235,0.0423067844605074,-0.392722399706697,-0.0940898493250852,-0.26681809065589,0.0528015538682645,-0.144530451849636,0.330099259297959,-0.151563427562742,0.151686134490822,0.0939603003637598,0.379362521785922,0.306601372292193,0.0937748091113036,0.535778908081413,0.245724041553336,0.0761501884556244,0.416286043243593,-0.839756382775707,-1.37248196852554,0.695452857183469,0.031419897801127,-1.06805642310797,-0.117974082045423,-0.155698966208759,-0.475509493006841,0.0167410736175641,0.801233734037772,1.05669340104546,0.258162463308115,0.38984789351965,-1.87842465392718,0.726109237289823,0.674554053605604,1.80709213074783,0.367366028893474,-0.185812602275792,-0.548609992632153,0.450530922299446,-0.391997936549533,-0.465975224255565,-0.260712897707672,-0.33507494197112,-0.460704428183702,-0.10073557014525,-0.345116777077774,0.371915381215752,-0.392431284926009,0.222918784051637,0.081352049160232,0.0114258135219773,-0.156269438970009,0.184594890861304,-0.00318337210645967,-0.204215952760733,-0.0261122952671745,-0.165698228071691,-0.081190845913853,0.138117145717775,-0.0854655085628715,-0.143647028980786,0.00900566908541971,-0.231931168385413,0.0320928993621585,-0.0593174248544391,0.166823752208569,-0.0724514277755265,-0.107377855775998,0.131429001211288,-0.264731111413706,-0.345892112683776,0.153028286634887,0.261687153189215,0.472038980924969,0.201474413455696,-0.38444451937074,0.00951484906411995,-0.320186900888471,0.149201004616072,0.205092782524653,-0.267888401223872,-0.158371854368081,0.191320268077332,-0.194593305513895,-0.032210293494963,0.0918561308216954,0.0325476661916258,-0.0304751347865081
"Applied Materials",0.519016858781785,2.61544856218831,0.507602689821998,-1.51769291655705,-0.15161434235893,0.0120881227817946,-0.388570342481349,0.259558999540774,-0.0639990873512273,-1.22093598070956,0.990055084464317,0.607218651077373,0.387371752911046,-0.393352361264799,0.245880922162509,-0.543116832308506,-0.479316167906428,-0.663515431294886,0.364034712999304,0.522496436146396,-1.21550727002397,0.483502274080993,-0.478371856285033,0.930626483701003,-0.0553744564631077,-0.308493241944805,0.155071177685888,-0.25216547484162,-0.160444328403244,0.00594598207422663,-0.276101701706343,-0.261065492044325,0.123744940725901,-0.590136025552611,-0.472317056916122,-0.145374253039737,0.473087117085526,-0.243215339919726,-0.2884157054711,-0.448912511099956,0.335848531758089,0.143291225170993,-0.190357615070255,0.495479730670745,0.0873908506412002,-0.169939427234855,-0.455830251846808,0.705135214114411,-0.000166429211790173,-0.306924894225304,0.13515021808844,0.362119756905507,-0.447453864225422,0.00262912295755514,-0.28006634541361,-0.48931739685317,0.216492534475384,0.121317216150978,-0.341172422765037,0.0441041429221135,-0.0815764298867581,0.00883650032094074,0.184951139165229,-0.0727697742066701,0.412678745736938,-0.43150014196755,0.398895318342026,-0.167931266186197,-0.338963549781315,-0.0135725039098228,-0.0287109865661587,-0.175027860704786,0.126003124576703,0.101427346666053,0.104563957225125,-0.411467728565165,-0.0198752662539237,0.479971959650863,-0.359549799461706,0.209809119765805,-0.0388171471263015,-0.034951110492143,-0.239179075995225,0.0199662459361978,0.209609839488857,0.0670253744956382,0.62528536565845,-0.325196494556142,0.685077928160693,0.249812547972657,-0.468303585007719,-0.410606906114933,0.332737818161586,-0.145554101062053,-0.0902865404027202,-0.326978059888707,-0.185546256007777,-0.411289851791976,-0.215323922247988,0.096563569071531,0.869073267465349,0.338708439991475,-0.141618853175579,0.154199218609582,0.186161397434289,-0.119306387054017,0.161453131507986,-0.1127472112876,0.194587528382911,0.000853235796249613,-0.0194343504834457
"AUTOSTRADE PER L'ITALIA",0.10771586980634,-1.85954732764799,0.641866955325772,0.591353581527431,0.0334022036047109,-0.555015525018196,-0.640739994881191,-0.407685439972,-0.628316545679644,0.273202348015383,-0.630448298007079,1.03412842010981,-0.65016876292449,-0.127286433821263,-2.22935147075179,-0.430796972174114,-1.08949620450486,-0.165427618034116,-0.00699945371763612,-1.06898166282439,-0.673059551196133,-0.555363657371893,-0.69082778512255,0.477012010182418,1.80167132125269,0.306943088112166,0.0355218435781648,0.53965750165749,0.808135127919032,-0.404373841554902,0.535649569946714,0.366365989408419,0.182415221949747,-1.34468493876635,0.481819911724407,-0.562930979310069,0.942897491521234,-0.0532300985739091,-0.94130221099165,-0.900370503540394,0.28007641534589,0.162645111989808,-0.885122361354166,0.683630883165849,1.72477681891715,0.192395322135315,0.966946500303037,-0.119318163135842,-1.45340239455708,0.257592989267783,0.247032518824064,0.534287554830029,-0.333075458692351,0.224111940937422,0.671195723549941,0.188571797212487,-0.141448485937739,-0.367901475178616,-0.00313330401035794,0.477841262009509,-0.522372245454339,0.115655144722145,0.0581471178874728,-0.0512728026059953,0.175152999518696,0.818823047183589,1.06215928795056,-0.629888129588331,-0.746222528571605,0.35614777277167,0.225908520902989,-0.154091012724524,-0.54407926426538,0.0312797258560982,-0.290979429639267,-0.443023417579347,0.187101684588787,0.391281974707715,0.10558598510228,0.15337021186825,0.155773472968049,0.517679134162935,-0.104111133335101,-0.11608326031931,-0.121664330028392,0.236057994661077,-0.446237418418028,-0.264254151669556,0.209554742485604,0.0200873889315342,-0.146256668303522,-0.0641759654716589,-0.0580547466973691,0.326705799350818,0.0735027739014694,-0.111091064587764,0.16894615992669,0.0834678270381771,0.186336036331273,0.170691074444241,-0.110502418939406,-0.140571291502667,-0.430764117338492,0.154690990957328,-0.158814902574064,-0.117009671634716,0.0709062411133107,0.255776146778166,0.223001695713225,0.000705086285080305,-0.00756611318604144
"FERROVIAL, S.A.",0.785935573197658,0.750893467988623,0.167702777139154,-1.70565679869787,0.112437218665296,-2.4002518373874,0.488219329055771,-3.78602719745436,4.656114960277,3.48449309781845,-1.77215423152775,4.51349362950506,1.60200064252396,-0.587919711634507,-0.0255141292726579,1.28076116156691,1.56157680252636,0.0863927744536402,-0.0895184598758364,2.58482940407073,-0.358487641172987,-0.233967542100978,2.42821820249274,2.48211836039025,0.722149064657655,0.33972654844141,1.30891270547172,-3.72846327189728,-0.477988217510557,0.972313938029246,-0.928080335245731,0.539478811595803,0.329891443067803,0.305510459248236,0.529105353489229,-0.451201870882667,2.62493635406328,1.77382552926939,0.298818124785509,2.7111938535599,0.158249830411326,-0.35592825138022,0.670533053168239,-0.654936730839241,1.98125796435876,0.952940862478314,-0.98820248648376,-0.195151490214105,-0.400489003206033,-0.291709120093672,-0.960253272036923,-0.607227439488402,1.53163348805437,0.190465242158506,2.44507763624928,0.761042642952287,0.435775758470182,-0.999114749222731,-0.456611817176182,1.14688305093248,0.451638559089303,-0.572802809459398,0.312425821144106,1.72931336410905,0.918329672545864,0.257755200867966,-0.532207332335818,0.497051571511512,1.00990266525077,0.468629790246993,0.638857955487317,0.711223615978367,0.331706628296233,-0.337101617789558,0.153998632114969,1.15439916163638,-0.124803313358284,-0.0295946330936934,0.229654512830374,0.157830850235056,-0.149141912458778,0.252432491408101,-0.222850754921475,0.208831630350051,0.209783704732058,-0.0219474924597525,0.0635495995633606,-0.0439724429873199,0.246903475319624,0.163096007247592,-0.127413617529914,-0.0819365501418234,-0.1767260102858,-0.130752936976469,-0.1662656649311,-0.0497671673848652,-0.142693445051621,0.146038849367491,0.19896139026197,0.0340825806130867,-0.0479980066673774,0.0750991839609564,0.168340316845244,0.113166988316342,-0.108048849118964,0.0186358514399491,0.104391721254838,0.120636274248533,0.00967499317144466,0.165437768277783,0.120828145766132
"Bridgestone Europe",0.210977255435937,-1.34670763940053,0.726422565073862,0.181059035272829,-1.00416553284369,0.39682399058947,2.86705060519915,0.500790541024216,-0.153789432017641,1.41785201953028,0.447876433051879,-0.517887825882517,-1.80307394307451,-1.04095498169474,1.38346813449163,-1.38501555229207,1.21203814189299,-0.922116049935861,1.24633173153244,-0.901582633791125,-2.00136457662093,0.299922420477925,-0.0100107529652353,0.265362230297957,-0.196008459025157,-0.681122491440911,0.0377535535667686,0.120535962093943,0.209869324067602,-0.155265598876701,-0.566278522026464,-0.115923535798857,-0.0928421843900806,-0.248069542770384,-0.654949514384577,-0.887619657643494,0.612463076461075,0.0405885072064733,0.0959958660195538,0.914021174001997,-0.540660645972448,0.746231940902103,0.114074055566173,-0.422420555496185,0.285125572621828,0.663309208388236,-0.841551711305871,-0.829086725967741,0.367901322595578,1.80029085253955,-0.149438840610189,0.102563113123414,-0.195164831081872,0.379927190436319,-0.326402262341658,-0.10046246481715,-0.6641175529188,0.406501211680116,-0.347750834978351,-0.110080035791309,0.0863376441239402,0.532907377670327,-0.304418175591186,0.0103288393784771,0.197883907133939,-0.0266968622510569,-0.663627855530241,-0.26174629448164,-0.148473708080238,0.0735305676102683,0.291105121483034,-0.433936911527941,-0.357610887476982,-0.135516229183408,0.141755446126819,-0.547091225388401,0.17867493658406,0.282453162852574,0.202709844963672,-0.213990415663173,0.142908034027389,0.455941655568887,-0.156952893800837,0.5343772485657,0.0566086582274057,-0.14731836995893,0.0746957078198571,0.0747649754137075,-0.221907088662989,-0.501659895534021,0.213898646864959,0.370322100530998,-0.195280772250524,-0.0788216421518958,-0.336878253866259,0.439221483220838,0.353769266441027,-0.23772892661556,0.510615573734688,-0.257893400250128,-0.476591670306552,-0.180806552974246,-0.0609834903573718,-0.157836653589065,0.0320874368045514,-0.165061178161889,0.0899193245455778,-0.0109225631485785,0.129059916106154,0.0141109618319922,0.0278683140704136
"TrueLayer Ireland",-1.23496866947966,1.06572871861347,-0.32809835354122,-0.379432925957116,-0.451451772560849,0.56674278261743,-0.611664457909903,-0.0119632829629121,-0.320504949948972,-0.596799429857728,-0.26943071316093,1.18191764098166,-0.178948889904438,1.98239597853793,-0.247957685220423,-2.13778464723774,-0.356244418973166,-1.93355028056432,1.2570659827367,-1.6956939379484,1.93038412754994,0.154972504062165,2.47648849556119,-0.737862813708743,0.504004697764542,1.48810414803247,1.03131438896132,0.247367595647229,0.126171920253876,0.6806346918829,0.0976417373964107,-0.0889787414056758,-0.271959584049396,0.880395502712514,0.256543111096284,0.899047003357043,-0.536824113554079,-0.284666974520068,0.116196246126055,-0.923627678583898,-0.763064509944267,0.490779415165702,-1.30662656548003,-1.39741215050017,1.23893078939722,0.0621156285842024,-0.585979900893691,-1.63109972679222,1.29683227334446,0.28193154136352,-0.775587992237972,-1.27104153594908,1.48734802208618,-0.0346045175899642,-0.979437993210826,0.281805184455521,-0.018414740153633,0.163329066022906,0.248964965132053,0.404928508738171,0.771521207797157,-0.126226870984768,0.526908544878323,-0.413825284587302,-0.783502186626607,0.60356976624115,1.12294718897064,-0.537607707251837,-0.0751483225385164,-0.0889130500571404,0.863139606509518,-0.555073559564673,0.272796919410589,-0.903971339882393,0.268585508498543,0.0588886702078389,-0.02102965696125,-0.421883826111843,-0.190591629256776,0.294598249926241,0.423513641951296,-0.146071258931346,0.118132853969468,-0.15023542818052,0.261424690695975,0.0750498893991419,-0.0675018460866384,0.309935876706428,-0.0792465395956437,0.0529065888177188,-0.0489555338221032,-0.182100459846592,0.0656466711035531,-0.0447183672734758,-0.170208680944838,0.047025756883049,0.0201335059725582,-0.211436068251759,0.28343301209972,0.0794741157951653,0.17697620770171,-0.0139805519359093,-0.0846819381470254,0.137765214470407,-0.0121218697034272,0.231691279193281,0.0614596018391542,0.210486752734289,0.197757904682448,-0.0177998727624588,-0.0196691885011393
"Patria Oyj",-1.32564301900558,-0.0269938913364708,1.212530736223,-0.978973232506747,0.116891880294171,-1.10832908983912,0.344099234309738,0.989793705366992,-1.60641322574601,-1.30611163433353,-0.774546935501659,-0.473272285011412,0.47171224999968,2.76594462115493,2.16328246437821,0.293773591866342,1.97258543660481,5.00911294713671,1.2129445118468,0.428176471680926,0.736522628299923,-4.23206672582397,-0.380447637545047,1.00132109025251,2.50004826156341,-2.56101302459362,0.953429542259393,-0.0485859195678179,-3.39867585084816,-0.749121196916515,0.848706009040958,0.502521815162412,0.228184756542879,-0.46976999741148,0.307657395292016,-0.183778977046526,0.297642928480639,0.970438590282254,1.5146995579209,-0.609872402702809,2.85050651664094,2.7273825074216,1.78233591155387,-4.00959406161072,3.01903199498947,-3.33076685590685,0.340117415910259,-0.525540224257221,0.800893256601035,0.298464988560981,1.10355687843302,-0.217807104615889,-1.03591950504379,0.215032813046781,0.81386517752726,-1.10863967810736,-0.0352336677793219,2.41894906386556,0.278912979123081,-0.674186823708891,-0.0506060840826409,-0.400270895839946,0.699376056310016,-1.25851801704876,-0.630834861131036,0.0036189697713771,0.0344994721547201,-0.038004125768763,-0.690664305378738,0.196715843923954,0.502337080545123,-0.293908665106209,-0.356822210679806,0.283357318838136,-0.413505849943885,-0.268582407065362,0.330294931206261,0.423470730816358,-0.403468446844472,-0.281730531054782,0.167641816392492,-0.674783918212522,0.0993771885068147,0.136186265211557,-0.399257270456732,0.39184268457512,0.0993451823081423,-0.0532131759068671,-0.133196270135053,-0.0314213781566238,0.0884866197155605,0.100512566537531,0.327385177985269,0.0774370711319638,-0.012098949864329,0.167076050125729,0.139892546731794,0.182562871297841,0.0466212193812117,-0.243533830545391,0.113442951763881,0.505595400983785,0.177279996325849,0.145582737897312,0.00838366588548558,-0.127249600674102,-0.167470733695914,0.00562344847547101,0.130207264551847,0.0580390262317484,0.00471347128775323
"KERING",0.483815127516612,-0.199668793889831,-2.77905551169355,1.21917832947118,2.92359495087809,0.0873897625604926,1.76369531193153,0.828784455415798,-0.714695850748447,0.0698824669555481,-1.01674013721666,1.22570470370857,1.27614768544101,0.0897279975542351,-0.472194063594137,-0.155330728458063,-0.136686212468083,-0.662238466527806,-0.706270584389439,0.249603304467223,-0.519799273898775,0.245106886009808,-0.571844783595076,-0.316936721140447,-0.451326019043517,-0.362830730490088,0.56671817398116,0.839368520796018,-0.736568747110069,0.49129866121355,-0.291215692366498,0.0710862331582824,0.0314269002702964,0.0482034780010611,0.187294575256949,0.179258088133542,0.183123194928408,-0.70456353448857,-0.287002922856692,1.01429497053386,0.691250722726857,0.454682411917203,-0.0320626597068254,-0.748515290912229,0.021647715970311,0.439117788686674,-0.0788120167618777,-0.382117166529692,0.385004496042884,-0.380995734719578,-1.56522877977712,0.778884153428691,-0.720653415841086,-0.339674656852945,-0.18602102001804,-0.435752254099108,1.56048018500273,0.39668312131152,-0.520568258218568,0.593744695678198,-1.24932349827609,-2.59350997606765,-2.52105072638516,-1.32516873640066,-0.0444376895018564,0.152862360435052,-0.384399801343184,-0.184991637208058,-0.361741401644533,0.0177637345388343,-0.0680839410576195,0.132997021121481,0.180249139047367,-0.0834780708505281,-0.076352307498382,-0.367562886297862,-0.418884755290754,-0.0166374779395989,-0.077116380487287,-0.212463428803144,-0.156737992726457,-0.667967919920155,-0.0268335060876222,0.0400403798872177,0.231563407419998,0.328471276611656,0.023648372692943,0.0524757242530037,-0.00950845364655647,-0.0510362499870057,0.125581408169282,-0.119249469426688,0.347999825859397,-0.743952329375622,0.291757338937027,-0.0737360892810706,-0.474486582603156,-0.1536190290884,-0.225239943747452,0.163134190449396,-0.712357254938609,-0.202833145384572,0.120344593429642,0.0310542703483736,0.0940970546888523,-0.287998773504405,-0.00390791212830073,0.0665202281565615,-0.243603923898874,-0.418267345137873,0.0320032135784923
"BioNTech SE",-2.10298920923792,1.08000540852465,0.871194369946922,-0.310291227841423,-0.0212978438690034,-0.978315586724377,-0.359458549844559,3.15977190326395,0.744630199270433,-0.244266845115984,1.21597393727457,0.376194281360209,1.35230947356971,-0.208091433790759,-1.00753902701636,0.626457710461352,-1.26277047313514,5.03190390684285,-0.21335507076254,-0.43952230895191,-1.72507450323889,1.40184301936832,3.44189902879963,-1.1329967140539,-1.2920673103809,-0.878179058590279,-1.66488935415397,0.863927809323757,0.703554416935542,-0.151504019875568,-0.319667588918038,-0.0397393343746742,-0.020353427577303,-0.000426652090984108,0.202721186092189,0.255833834532491,-0.471002294838701,0.515328657588755,-1.45605924122709,-0.68527448541195,-0.848179845250069,-1.37551617586541,0.256909391771335,-2.40474253705575,-1.52111082219421,0.871491029594446,-2.14701519582345,-2.75388606285559,-4.02694158997891,0.52440457726839,-1.7775783846216,1.94099152353266,1.42254481276937,0.504367321318142,-0.184001204416164,-1.55177900384302,-0.182790560529514,0.00926389091423893,2.47063274563439,1.32810115039658,-0.177485384497591,0.80838420055802,-0.503349566529135,0.781564910582785,0.228612858120233,0.413611669705669,-0.262156972701202,0.025906558710038,-0.193923608550093,0.252004188827812,0.0230397536794036,-0.0337515681869701,0.750972004796611,0.324900231157125,0.0701749006981567,0.214508467407384,0.192458638023382,0.143674831332561,0.0717703363508859,-0.155642275834628,0.0640641156306613,0.0329506679066718,-0.136948680955856,0.193122316974884,-0.0487459681376222,0.16022548794326,0.144068879204786,0.260619134242858,0.137963347992073,0.181970886784392,0.252064033471372,0.332077163442747,0.129168436089577,0.298654027715863,-0.0771596355527757,0.282784114503454,-0.108159327792053,-0.0896881462110629,0.185163202755972,0.0930595088350044,0.0149887667364276,0.0878078010156386,-0.0480567693188753,-0.0207965613001719,-0.0328607752684145,0.130401471750367,0.141854337519413,0.0239432823507003,-0.0277069286315534,-0.0248563046117712,0.0133646947716072
