,Name,Type,Betweenness,Closeness,Degree
0,Maros Sefcovic,Commissioner,2.9493944112153014e-11,0.25161178337631424,42
1,Didier Reynders,Commissioner,9.847912159566082e-11,0.2628007562611691,94
2,Margrethe Vestager,Commissioner,1.0386492112878836e-10,0.2660810279271011,118
3,Valdis Dombrovskis,Commissioner,9.977256774769903e-11,0.272008363714347,106
4,Thierry Breton,Commissioner,4.3799586992152227e-10,0.2946711195005082,290
5,Stella Kyriakides,Commissioner,8.336801587361087e-11,0.25335197623030636,74
6,Kadri Simson,Commissioner,1.3915961568223068e-10,0.26910122788872093,141
7,Mairead McGuinness,Commissioner,2.0921724784446843e-10,0.2682475480476908,179
8,Vera Jourova,Commissioner,1.3155383748690104e-10,0.2577277691702014,125
9,Elisa Ferreira,Commissioner,2.8165927192960095e-11,0.24146300835256884,31
10,Adina-Ioana Valean,Commissioner,6.611505144706486e-11,0.254234315494087,82
11,Virginijus Sinkevicius,Commissioner,1.7405672702590132e-10,0.26712473016374455,149
12,Ylva Johansson,Commissioner,6.162318753378247e-11,0.24831147220046984,60
13,Johannes Hahn,Commissioner,6.32981729393382e-11,0.2493487983486509,60
14,Ursula von der Leyen,Commissioner,3.5401116008133576e-11,0.24974157026827468,45
15,Janusz Wojciechowski,Commissioner,1.2035170702217533e-10,0.25156811701995785,96
16,Paolo Gentiloni,Commissioner,5.3696634280861437e-11,0.25335830212234706,60
17,Josep Borrell Fontelles,Commissioner,2.6519691314971155e-12,0.2110177598469409,7
18,Jutta Urpilainen,Commissioner,8.651654938682104e-11,0.25072893501359034,77
19,Margaritis Schinas,Commissioner,1.3220415124985835e-10,0.26111682964487903,102
20,Frans Timmermans,Commissioner,2.7618356953863795e-10,0.28102583986484614,198
21,Nicolas Schmit,Commissioner,1.9497575914776002e-10,0.27269551195915076,187
22,Oliver Varhelyi,Commissioner,4.1167796634535294e-11,0.23076048394432822,38
23,Janez Lenarcic,Commissioner,1.9318335640213492e-11,0.22991865497473546,24
24,Helena Dalli,Commissioner,4.22634450057918e-11,0.24743349020946623,47
25,Dubravka Suica,Commissioner,2.6694012853964762e-11,0.23560963150440012,31
26,Maria Luisa Cabral,Cabinet Member,2.085185288208994e-11,0.25187410018368667,30
27,Nicole Dewandre,Cabinet Member,6.77671892151244e-13,0.24302445333269465,6
28,Jivka Petkova,Cabinet Member,3.674339469852031e-13,0.21195663526413636,4
29,Martina Lodrant,Cabinet Member,1.8350947990618938e-13,0.22043361140076467,3
30,Per Haugaard,Cabinet Member,1.479174891430072e-11,0.25019725811223986,23
31,Jens Alexander Flosdorff,Cabinet Member,0.0,0.18345687940697886,1
32,Mary Veronica Tovsak Pleterski,Cabinet Member,3.3507256789400064e-12,0.24069549541001495,6
33,Bjoern Seibert,Cabinet Member,7.137619350802409e-12,0.24668757445360173,15
34,Tomas Baert,Cabinet Member,4.906860372158678e-12,0.23253202557462704,9
35,Peteris Ustubs,Cabinet Member,0.0,0.2187136267620813,1
36,Stéphanie Riso,Cabinet Member,4.341590973578475e-14,0.20254301568924907,2
37,Peter van Kemseke,Cabinet Member,2.4944409281549778e-11,0.2459044203179527,42
38,Fernando Sampedro Marcos,Cabinet Member,7.710226352523968e-13,0.24509661835748792,6
39,Kurt Vandenberghe,Cabinet Member,7.647819115889581e-11,0.26128492339384574,88
40,Sonia Vila Nunez,Cabinet Member,3.9929995380232657e-13,0.23853405110604387,5
41,Anthony Whelan,Cabinet Member,1.9412720226543518e-10,0.2715642981399706,181
42,Florentine Hopmeier,Cabinet Member,5.994339669946592e-12,0.24468290330359296,12
43,Valeria Miceli,Cabinet Member,4.979610439959067e-11,0.26100936310319994,59
44,Brenda Furniere,Cabinet Member,2.094599060438815e-12,0.23314645466660538,7
45,Olivier Smith,Cabinet Member,6.2199429035646516e-12,0.24835401522382947,11
46,Charmaine Hili,Cabinet Member,3.6764151531494084e-12,0.23651578015010954,10
47,Tove Ernst,Cabinet Member,1.313857253163087e-12,0.19368939451782852,6
48,Karolina Herbout-Borczak,Cabinet Member,3.683114887662766e-11,0.24632825965576677,53
49,Giorgios Rossides,Cabinet Member,1.616990968934524e-11,0.2431583992331656,36
50,Roberto Reig Rodrigo,Cabinet Member,2.0734994782555886e-11,0.24224121466768525,42
51,Ralf Kuhne,Cabinet Member,1.7349746665283533e-11,0.24268733108512114,28
52,Daphne von Buxhoeveden,Cabinet Member,3.065531133502216e-12,0.21105726230838032,11
53,Olympia Neocleous,Cabinet Member,2.0901450435030958e-13,0.1905039050765996,2
54,Ines Prainsack,Cabinet Member,9.782157032654632e-12,0.2330607744958427,24
55,Annukka Ojala,Cabinet Member,4.039222567822539e-11,0.24880464899590515,62
56,Panayiotis Pourgourides,Cabinet Member,6.285237881962863e-12,0.21333361365738793,21
57,Helena Hinto,Cabinet Member,1.468345688859112e-11,0.24561276111635563,32
