Name,Type,TR Country,Category of registration,Level of interest,Fields of interest,Lobbying cost,Members FTE,Orbis Country,Country ISO,City,BvD ID,BvD sectors,NAICS,Last year,Revenue,Shareholders funds,Assets,Nb employees,corporate group size,Entity type,GUO Name,GUO Country ISO,GUO Type,GUO NAICS,GUO Revenue,GUO Assets,GUO Nb employees,Betweenness,Closeness,Degree,Strength
Colin Scicluna,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15805957479879E-11,0.230532889092832,20,20
Wioletta Dunin-Majewska,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10428703410442E-11,0.232794745749053,28,32
Sandra Bartelt,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60903809543914E-11,0.241095833246395,47,59
Virginijus Sinkevičius,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13979726582549E-10,0.26161474370585,150,171
Peeter Kadarik,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47508379418317E-12,0.234543092599358,24,27
Mario Nava,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81429865940316E-12,0.213424207162779,9,9
Rachel Smit,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56115117624495E-11,0.236996472229059,64,73
Maja Kocijancic,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32225325932693E-12,0.177870480119453,2,2
Jérôme Deslandes,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25910201651276E-12,0.223886380810292,25,26
Arto Virtanen,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33921646585935E-11,0.227232502802305,46,48
Raul Hernandez Sagrera,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76856891905747E-11,0.235077511494487,33,40
Gwenole Cozigou,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57262697825173E-12,0.193502470066147,8,8
Christina Holm Eiberg,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88102954021205E-12,0.206379824608405,11,12
Anne Bucher,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47376344236658E-12,0.210048899311047,18,21
Roberto Berutti,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36787259348794E-11,0.231767490372272,37,44
Peter van Kemseke,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73245907295E-11,0.243381005539524,43,47
Sophie Dewispelaere,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67918428649663E-13,0.188388548323986,3,3
Claude Bocqueraz,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7182770628106E-12,0.217538641113015,11,11
Rozalina Petrova,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64780854563475E-11,0.25039547532884,70,74
Alexandra Cupsan-Catalin,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,9.80273736858994E-12,0.238769268917634,24,26
Catherine Geslain-Lanéelle,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83009815127533E-11,0.216227848575011,61,66
Veronica Gaffey,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.181499748680573,1,1
Charmaine Hili,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51466543570976E-12,0.23349566552832,10,10
Yizhou Ren,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05972773057577E-12,0.231308177359624,16,20
Gints Freimanis,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36095198722914E-11,0.242997139973082,30,33
Hannah O’Kane,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86006179652772E-12,0.213937901538575,7,7
Diederik Samsom,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4230780048599E-10,0.275973250537378,299,367
Filomena Chirico,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7898994952787E-11,0.25929000987344,160,216
Anthony Whelan,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32243458036514E-10,0.264943938733864,183,259
Santina Bertulessi,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79176152487351E-11,0.246217771148519,78,85
Paul Moley,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97388666743079E-12,0.225904203323558,25,27
Roland Sourd,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85496726308447E-13,0.179578832854146,3,3
Dubravka Šuica,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76386553095421E-11,0.229047732318427,31,35
Themis Christophidou,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62834375999514E-12,0.190014964397889,11,13
Jorge Pinto Antunes,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07352108333162E-10,0.252888908342817,137,170
Nicolas Schmit,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28157378893909E-10,0.267737151860605,186,267
Barbara GLOWACKA,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08878216174747E-11,0.245762171129591,73,77
Catherine Sustek,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,9.87980275343825E-12,0.228716771243641,22,26
Natasa Athanasiadou,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44378046133553E-13,0.184375548499306,2,2
Charlina Vitcheva,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21268809183362E-11,0.215953052871587,30,33
Pauline Weinzierl,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38586367810374E-12,0.242227952120412,23,24
Kim-Tobias Eling,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22610237903595E-11,0.207506509832091,30,82
Maurits-Jan Prinz,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24338510951956E-11,0.253260273972603,95,110
Marlene Madsen,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84008393196411E-12,0.216690107829348,10,10
Camilo Villarino,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9378164710213E-12,0.21576352840124,8,8
Liviu Stirbat,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36793163315246E-13,0.203511923632393,4,4
Eugenia Dumitriu-Segnana,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40210246848819E-12,0.231962901995423,17,17
Angela D'Elia,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.155683701378316,1,1
Carole Mancel-Blanchard,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18910874547811E-11,0.23102145270608,21,21
Deša Srsen,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30998506063262E-12,0.213384794371295,17,17
Gertrud Ingestad,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.149693617131531,1,1
Isabelle Perignon,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45687134744235E-11,0.24219241249214,53,57
Luc De Lobel,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73797636533474E-12,0.165485141424991,9,9
Alice Brokelind,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32287776160019E-13,0.189868217818528,3,3
Ruud Kempener,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14910336743499E-11,0.239814872465392,51,52
Szabolcs Horvath,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0229630758756E-11,0.20379188712522,19,24
Sarah Nelen,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52403648085551E-11,0.255873690737173,72,76
Pelayo Castro,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09394178197813E-13,0.202183688824342,4,4
Adam Romanowski,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68245877527905E-12,0.225648336197469,27,32
Koen Doens,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45385506389026E-11,0.244928672870254,56,68
Stefanie Hiesinger,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97873626700046E-11,0.262697221843314,114,129
Janez Lenarčič,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14514094296412E-11,0.22422090270501,24,33
Lucia Caudet,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47972610701804E-11,0.248542728700178,42,48
Gabriela Keckesova,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,7.93858859067478E-13,0.203874587575207,4,4
Martina Lodrant,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15360796633753E-13,0.218981560444975,3,3
Hanna Jahns,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88700899003689E-12,0.211007834042475,11,11
Stephen Quest,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41851333151398E-12,0.222395442385049,12,12
Silvan Agius,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55222811680834E-11,0.22586004691165,29,34
Kadri Simson,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48556219601824E-11,0.263674326267029,148,197
Gert-Jan Koopman,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68255702735852E-11,0.237820816267726,39,65
Dominique Ristori,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.170503172495204,1,1
Tomas Baert,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02351530561614E-12,0.229093144058051,9,9
Jean-Eric Paquet,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1698851934614E-11,0.24494944141776,67,90
Kim Jorgensen,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86413919220038E-11,0.250449747491168,66,66
Maciej Golubiewski,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58361952475272E-11,0.239620919912073,60,72
Ralf Kuhne,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12864760370887E-11,0.238154125188071,28,30
Louise Groenfeldt,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55804968930099E-14,0.206678829505616,3,3
Maria Inmaculada Lopez Martinez,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05541930790928E-13,0.212705249981592,6,6
Olivier Guersent,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46559072555728E-11,0.240618883011953,51,66
Florentine Hopmeier,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45843504254827E-12,0.241862899005756,13,15
Francisco Barros Castro,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11872638366923E-11,0.230316922463624,37,39
Anne Bergenfelt,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61865957187424E-12,0.194260448539054,4,7
Daniel Braun,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14294495636142E-11,0.246928090607971,99,119
Antoine Kasel,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65926186813347E-11,0.253788710740171,100,111
Didier Reynders,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41774695159958E-11,0.257120605251446,94,120
Phil Hogan,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91826836564319E-11,0.247276851633889,41,49
Jutta Urpilainen,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56841534806454E-11,0.245955725840783,76,88
Carmen Preising,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20527234666213E-11,0.229758212041677,38,44
Valeria Miceli,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62372643208699E-11,0.256111886871911,61,82
Eszter Batta,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35375879152071E-11,0.256732136509065,47,51
Selma Haenicke,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46672716474665E-14,0.172570865318558,2,2
Kyriacos Charalambous,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01684995505085E-11,0.237303103115437,25,27
Chris Uregian,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85086127857675E-11,0.241994596745481,54,57
Kurt Vandenberghe,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32837528226543E-11,0.265699372255053,130,200
Simonas ŠATŪNAS,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95308902978307E-12,0.226759817100693,13,13
Marco La Marca,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.171880345694438,1,1
Morella Siemers,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58450629938168E-13,0.202658856130628,5,6
Lucia Bonova,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05007747724302E-12,0.230915267785771,17,17
Luke  Haasbeek,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67492612152228E-15,0.179130623507891,2,2
Jakob Wegener Friis,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76989340729896E-12,0.199248185125791,7,8
Christian Danielsson,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3651243780398E-13,0.182554979777553,3,3
Renate Nikolay,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61339335805561E-11,0.247430406852248,62,75
Christiane Kirketerp De Viron,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77162218171124E-12,0.222609667289576,15,16
Annukka Ojala,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72472549117462E-11,0.244700451070498,64,69
John Berrigan,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42980278973355E-10,0.252281559757216,195,369
Kasia Jurczak,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8461663558371E-13,0.212384663456236,7,7
Lauriane  Bertrand,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96773779628347E-12,0.185682146874498,9,9
Lora Borissova,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48123094348809E-12,0.21492876009077,18,21
Roxana Lesovici,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30753688411624E-11,0.229320473128523,46,64
Maarten Verwey,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86354618292512E-12,0.224678683233195,17,21
Mairead McGuinness,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3791856547321E-10,0.262990190500034,182,259
Nathalie De Basaldua Lemarchand,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38742584246515E-11,0.229015954811218,45,48
Chiara Salvelli,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14782084341716E-12,0.219597483798628,8,8
Daniel Mes,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44557255537134E-10,0.268820956635027,196,289
Eglantine Cujo,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25337859407267E-12,0.235388783637882,27,28
Pedro MOIA,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97205727871333E-12,0.181585316026024,5,5
Aleksandra Tomczak,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58263755003065E-10,0.268334030003251,242,315
Despina Spanou,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86881739624616E-11,0.236894437952314,41,45
Roberta Torre,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91750808193022E-13,0.179144509387451,4,4
Dara Murphy,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95406699995982E-12,0.222177357329641,11,11
Barbara Gallo,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26228412200828E-13,0.196523632158103,2,2
Estela Pineiro-Kruik,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35693711429404E-13,0.218571482616426,6,6
Mary Veronica Tovsak Pleterski,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19361748310147E-12,0.236115084392497,6,6
Simona Constantin,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86623534504536E-11,0.245001378199012,39,44
Ivana McDowell,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59680629608768E-12,0.220284052997808,9,9
Ildikó Voller-Szenci,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07511242539231E-13,0.176452622738032,2,2
Tatiana Marquez Uriarte,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06926665007607E-11,0.253482505210047,68,76
Andrea Beltramello,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95749464218625E-10,0.271250498838001,238,293
Simeona Manova,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13781224544969E-12,0.21212733147305,15,17
Elina Laurinen,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30499013355603E-12,0.235917434002327,7,7
Gerassimos Thomas,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91358023912753E-11,0.248548074854807,66,91
Geneviève Tuts,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6634937955049E-11,0.248826392178819,70,84
Andreas Schneider,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86167142459286E-11,0.223552855595109,34,35
Frans Timmermans,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86020738167595E-10,0.275269790599614,199,288
Maximilian Strotmann,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58087627335055E-12,0.211436413540714,10,10
Elisa Ferreira,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88870716418271E-11,0.235331255982566,32,34
Florian Denis,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39832541209696E-10,0.263002162285194,185,216
Toma Sutic,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2058101583484E-11,0.235144485144485,32,40
Sarah Ziane,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.185714974525467,1,1
Nicolas Hazard,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95848786230687E-12,0.199148598807349,4,4
Astrid Dentler,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38961194883981E-11,0.235984887164301,41,44
Maria-Myrto Kanellopoulou,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72172662070806E-12,0.206015546997575,13,14
Nicolo Brignoli,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37316396984027E-11,0.232635393597745,36,37
Asa Webber,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00298836641989E-11,0.236453302774822,26,30
Pim Lescrauwaet,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26519755709267E-12,0.224012252336086,10,11
Joost Korte,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52757456489459E-11,0.241261953480603,51,66
Johannes Noack,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32760119861337E-13,0.198304415727059,6,7
Mario Campolargo,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4865289014098E-12,0.193879091931073,5,6
Joan Canton,EU Member,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54764611236951E-10,0.273103285275349,214,275
