Name,Type,Degree,Strength,Betweenness,Closeness,EV_linear,EV_log exp,EV_max
"""АСОЦИАЦИЯ НА БЪЛГАРСКИТЕ КИНОСАЛОНИ""",Organization,1,1,0,0.178716710961653,2.99946421907375E-06,2.28309251363222E-39,9.38564410126564E-07
#DiasporaVote!,Organization,3,3,3.19540409884688E-13,0.196627537232637,0.0017481724139212,0.0002035313139479,4.86717065868945E-06
#SustainablePublicAffairs,Organization,5,5,4.00890563209471E-13,0.206848000573955,0.0001573202205979,0.0010193657308517,5.46180423855498E-06
#WithdrawTheCAP,Organization,3,3,1.12159682917591E-13,0.189490720582315,8.77280854164026E-06,0.0016629329830214,1.00346198222774E-06
(SETE) GREEK TOURISM CONFEDERATION,Organization,5,6,6.29816979714873E-13,0.198345472838752,0.0013502978705387,0.0020315782555704,1.03919453257206E-05
1&1 AG,Organization,2,2,1.12542611809183E-15,0.219886553219887,0.0004685178569605,0,4.36335130280924E-05
2030 sekretariatet,Organization,1,1,0,0.196818814052513,5.28314272886157E-05,9.94499112892536E-52,3.23066115474606E-06
2° Investing Initiative,Organization,1,1,0,0.220838160527752,5.12961564226766E-05,3.18012726186341E-34,2.69016114085997E-05
360° Foodservice,Organization,2,3,3.95634496547935E-14,0.193955549575762,6.34042189441273E-05,0.0018285347887609,3.8441708258229E-06
3E,Organization,4,5,1.69661551066703E-13,0.196062597223757,2.71243580742688E-05,0.0055399343852168,2.24403662221815E-06
3M,Organization,6,6,1.15348285438682E-12,0.209424796840241,0.0002640717196661,0.0030352408967597,3.24860225454792E-05
3billiontrees,Organization,1,1,0,0.191076206807996,3.02675710772282E-05,0.0007275241101308,1.77171054525168E-06
4Pro GmbH&CoKG,Organization,1,1,0,0.192225954045788,7.84250413475707E-05,0.0010013502392988,2.32489973796627E-06
4evergreen,Organization,3,4,1.39131632431921E-13,0.208308873334839,5.99717014538419E-05,0.0037413681947768,4.76439510234168E-06
50Hertz Transmission GmbH,Organization,2,2,1.2560157974852E-14,0.207342616481333,3.33480400995573E-05,1.59840938151623E-06,9.50650197632885E-06
5G Automotive Association,Organization,1,1,0,0.19081695966908,2.14831668567537E-05,0.002947269280909,1.80938690852752E-06
5Rights Foundation,Organization,7,8,9.88157977555876E-13,0.205330674524397,0.0027309120142119,0.0103325077408858,0.0040192861157296
"A Place for Rover, Inc.",Organization,2,2,1.03166717223925E-13,0.195683343372727,0.0016782230040487,5.22767808612184E-06,0.0019893572030616
A.P. Møller - Mærsk A/S,Organization,13,28,4.27073754361432E-12,0.243679545286467,0.0009406463063237,0.006263655778453,0.0001588135069426
A2A,Organization,2,2,7.44595075371622E-14,0.20099342076598,0.0017561885646032,0.0001339548994371,4.7738905832785E-06
ABB Ltd,Organization,10,11,2.84562390008449E-12,0.253698509596876,0.0027632292295167,0.0038737375984853,8.78335463438539E-05
ABN AMRO Bank N.V.,Organization,10,13,3.494739311292E-12,0.224877397213529,0.0002094474831346,0.0184203713258771,2.05705022586062E-05
ABN AMRO Clearing Bank N.V.,Organization,4,4,8.04881111839962E-13,0.211308896686303,5.51431511696439E-05,0.0002246565636426,3.53015004873676E-06
ABO Wind AG,Organization,2,2,8.05329206523185E-16,0.210130733840477,8.62759467953279E-05,0,1.37399887420478E-06
ABP Pensionfund,Organization,2,4,1.42289921683319E-13,0.199941053580562,5.4949039361977E-05,0.0033412521126658,2.97307490066573E-06
"ACCIONA, S.A.",Organization,10,11,2.19262324903369E-12,0.241399520654756,0.0005820398675863,0.0023015524912846,1.60140039599393E-05
ACCIS,Organization,4,4,3.92122374638891E-14,0.208923993876756,0.0001422119580134,6.01044534732136E-29,1.80847542722974E-05
ACI Worldwide,Organization,5,6,6.45015412076905E-13,0.207884561653342,6.10932538037421E-05,0.0010023604119543,1.38251863805507E-05
ACK3 CONSULTORIA DE RIESGOS GLOBALES SL,Organization,1,1,0,0.150428164274208,5.32262052902438E-08,4.94235641916691E-05,3.51112239283418E-09
ACT Alliance Advocacy to the European Union,Organization,10,10,6.78340101304411E-12,0.236154767633538,0.0002941277440687,0.0005669820305321,2.633825854604E-05
ACT group,Organization,1,1,0,0.170514611841765,3.83202939314284E-06,0.0010518526513843,2.1356108036072E-06
ACT | The App Association,Organization,5,6,4.89029103878899E-13,0.202763883150334,0.0027783944373457,0.0091709296693429,0.004066168954975
ACTA VISTA,Organization,1,1,0,0.143557793448561,3.50273801076558E-08,1.51799896669029E-05,3.4239522278765E-08
ACTION CONTRE LA FAIM,Organization,11,11,7.78026380749783E-13,0.20356200411272,0.0001072270334897,0.0006229651869254,6.76694142878086E-06
ADENE - Agência para a Energia,Organization,2,2,1.22820064180364E-15,0.197489532583846,2.55902852909444E-05,0,8.2369285721195E-07
ADPA - European Independent Automotive Data Publishers Association,Organization,6,6,1.38093606479375E-13,0.217892399981106,0.0007924444456461,1.08460627301445E-15,8.50117581831821E-05
ADS Insight,Organization,3,3,2.6612128617602E-14,0.194606862918808,6.46580717269736E-05,5.33870558732159E-07,3.84417082582293E-06
AEGIS Europe,Organization,9,10,1.54055531164645E-12,0.223089496948418,0.0001221302659623,0.0057545118011217,2.89778738456158E-05
AEGON N.V.,Organization,1,1,0,0.180399671502874,7.06934732571802E-06,0.00313246212455,3.13501328294367E-06
AEM - Associação de Empresas Emitentes de Valores Cotados em Mercado (aka Portuguese Issuers),Organization,1,1,0,0.17156479890508,2.08434983581562E-06,0.0002562270318585,8.27955032348338E-08
AEROCAMPUS Aquitaine,Organization,4,4,3.32333652807691E-14,0.226098634487761,0.0029132048836825,0,4.04010382732637E-05
AES Maritza East I Services EOOD,Organization,3,4,4.66855003063398E-13,0.200888385663894,9.6479360306286E-05,0.001193268714158,5.53255705302078E-06
AFL-CIO,Organization,5,5,7.53275946139331E-14,0.211793981800318,0.0044992944832105,0.0031635365754174,5.26310459156008E-05
AGE Platform Europe,Organization,17,18,7.61963679841487E-12,0.242873840386661,0.0049144052074543,0.0005635490757135,9.64263908544228E-05
AGENZIA PER LA PROMOZIONE DELLA RICERCA EUROPEA,Organization,1,2,0,0.176625544656053,4.48033328589295E-06,0.0014492272741075,4.03480252807082E-07
AGORIA,Organization,4,4,3.07954716319057E-13,0.21565547483474,0.0014183376591458,0.0006353210518559,0.0020431838785243
AGRICORD vzw,Organization,1,1,0,0.179205482219304,3.23457668252174E-06,0.0002464471931859,1.82700502748912E-07
AIG Europe S.A.,Organization,3,3,4.53613189489357E-13,0.228871667146273,0.0001088835306833,1.37375144941472E-13,3.11075184212202E-05
AIM - European Brands Association,Organization,11,13,2.51091097967419E-12,0.217884166674539,0.0016420832870585,0.0153092428149916,0.0022647952501124
AIR LIQUIDE,Organization,18,31,7.00686596056247E-12,0.254960481954347,0.0016180861796231,0.0174180499725793,0.0002546614753797
AIRC International,Organization,3,3,9.99177641490597E-14,0.213626133427187,7.59392167768552E-05,0.0029527905235384,1.07884184883616E-05
AIRPORT SERVICES ASSOCIATION,Organization,1,1,0,0.174163539299117,1.30506303240626E-06,0.000259026573974,4.06645636623769E-07
AJC Transatlantic Institute,Organization,5,7,1.41327412080786E-12,0.18914264627496,3.64577492978631E-05,0.002698256974999,7.36705434182952E-06
AK Public Affairs,Organization,3,3,2.5695813663839E-13,0.205137098997661,0.0044217028272934,5.6581626713658E-10,0.0039787163906238
AKKA Technologies,Organization,1,1,0,0.174163539299117,1.30506303240626E-06,0.000259026587983,4.06645636623769E-07
ALAN,Organization,2,2,3.60150045160699E-14,0.189599756680997,2.47286887683913E-05,0.002571594076442,1.54677679551616E-06
ALAN asbl-Maladies Rares Luxembourg,Organization,2,2,8.14555105977474E-15,0.191263174479447,0.0012410656651967,0.0030682463075632,7.89413975813776E-06
ALDI Einkauf SE & Co. oHG (ALDI Nord),Organization,1,1,0,0.191079372706261,3.03331307159086E-05,2.51434508774184E-40,1.77171054525168E-06
ALDI SÜD Dienstleistungs-SE & Co. oHG,Organization,1,1,0,0.191079372706261,3.03331307159086E-05,2.51434508774184E-40,1.77171054525168E-06
ALIANZA 4-UNIVERSIDADES,Organization,2,2,8.21525605463583E-15,0.186126645201378,5.08194217146506E-06,5.00813445275621E-71,8.74028389251905E-07
ALLIANCE DE LA PRESSE D’INFORMATION GÉNÉRALE,Organization,8,10,7.82014651306442E-13,0.213566792285114,0.0021402845668415,0.0125636964570034,0.002097330091154
ALLIANCE OF RAIL NEW ENTRANTS,Organization,3,3,1.52993745173575E-13,0.209428599965496,8.19286384577606E-05,0.0029831828401983,5.3532442649915E-06
ALLRAIL Alliance of Rail New Entrants,Organization,2,3,1.4944056622613E-13,0.199660667757377,0.0001229664744607,9.98719030938545E-06,3.59581886875085E-06
ALPHALEX-CONSULT GEIE,Organization,4,5,1.53325812778893E-13,0.185973569418576,2.96796457869426E-05,0.0038040986547194,1.29556608401024E-05
ALPHAVALUE,Organization,1,1,0,0.188530419074554,1.34926550901482E-05,0.0017272841869052,9.41199826850041E-07
ALPLA Werke Alwin Lehner GmbH & Co KG,Organization,2,2,1.69163869119985E-14,0.205016755108753,3.77399456217451E-05,0.0007275240727512,2.01992602548173E-06
ALTERMIND,Organization,2,2,1.74316901230023E-13,0.180143239844732,1.66257531874412E-06,0.0007030075470761,4.37886028805219E-07
ALTERTOX,Organization,2,2,9.90064095312962E-15,0.183289759136675,5.17963423020569E-06,2.52984440099013E-07,2.78538475089983E-07
AMADEUS IT GROUP S.A.,Organization,23,24,1.10281475418493E-11,0.250632966412031,0.00596602251793,0.0092968732752867,0.0022720891048528
AMBER Alert Europe,Organization,1,1,0,0.16715585027358,1.74565316287984E-06,0.0002755586788969,1.42076503265009E-06
AMF Tjänstepension AB,Organization,1,1,0,0.166165971456771,6.23568764990857E-07,1.4214727366536E-05,1.50422933905651E-07
AMG Lithium GmbH,Organization,3,3,8.79524670495654E-14,0.191663689017043,1.20119764815878E-05,0.0003892482794496,8.37030148132846E-06
AMICE - Association of Mutual Insurers and Insurance Cooperatives in Europe,Organization,5,5,1.50126370021216E-13,0.211219882965961,0.0001521935315827,0.0023744085762829,1.96998859798056E-05
AMISA2,Organization,2,2,5.07393431825708E-14,0.184947598848538,6.12923869632293E-06,0.0016547980270532,1.87968510321317E-06
AMR Action Fund,Organization,1,1,0,0.176490393076588,1.48780014417029E-06,0.0001771476804183,2.18063244473755E-07
AMUNDI AM,Organization,10,11,1.32943556721461E-12,0.213539111032931,9.02673517502904E-05,0.013818330661288,1.84142528823045E-05
ANFACO-CECOPESCA,Organization,4,4,8.56709488300908E-15,0.187460886385618,2.67985577101986E-05,0,1.5447664170292E-06
ANITA - Associazione Nazionale Imprese Trasporti Automobilistici,Organization,1,1,0,0.17773616601552,2.49681560290003E-06,4.99359456407463E-06,1.7636591302541E-07
