,Name,Category of registration,Revenue,Nb employees,GUO Name,GUO Revenue,GUO Nb employees,BvD ID,Degree
380,Diageo,Companies and groups,21642820.2034235,30269.0,DIAGEO PLC,21643.0,30269.0,GB00023307,4.0
381,European Buddhist Union,Organisations representing churches and religious communities,,,,,,,3.0
382,LOPEZ LEZA CONSULTORES,Self-employed individuals,,,,,,,1.0
383,ZDF Europabüro Brüssel,"Other organisations, public or mixed entities",,,,,,MYKT0550072-K,9.0
384,2° Investing Initiative,Think tanks and research institutions,,3.0,,,,DE2012755364,1.0
385,European Roundtable on Climate Change and Sustainable Transition,Think tanks and research institutions,,7.0,,,,BE0713761335,1.0
386,Water Europe,Think tanks and research institutions,497.158054065108,12.0,MR PASQUALE CIRO FERRANTE,,,IT06747290820,14.0
387,Професионална асоциация по роботика и автоматизация,,,1.0,,,,BG205319541,1.0
388,European Organisation for Security,Trade and business associations,,10.0,,,,BE0890768618,1.0
389,European Money Markets Institute,"Non-governmental organisations, platforms and networks and similar",12044.5181913847,28.0,,,,BE0465075408,2.0
390,Sumitomo Mitsui Banking Corporation,,20058308.2524547,59399.0,"SUMITOMO MITSUI FINANCIAL GROUP, INC",28776.0,105955.0,JP5010001008813,1.0
391,Lithuanian Confederation of Industrialists,Trade and business associations,,,,,,LT*916005180,7.0
392,Kaupan liitto ry - Finnish Commerce Federation,Trade and business associations,106.659948825836,35.0,,,,FI19579032,6.0
393,Siga Hydro,Companies and groups,,2.0,MR DARREN QUINN,,,IE480847,1.0
394,Transgender Europe,"Non-governmental organisations, platforms and networks and similar",,10.0,,,,DE2012698374,3.0
395,Conseil des Notariats de l'Union Européenne,Trade unions and professional associations,2146.31175062537,9.0,,,,BE0479579975,3.0
396,Claudia de Castro Caldeirinha,,,,,,,,2.0
397,DATEV eG,Companies and groups,1409498.05618943,7941.0,DATEV EG,1409.0,7941.0,DE8190002275,1.0
398,Insurance Ireland,Trade and business associations,,,,,,,6.0
399,Aquatiel Consulting & Services B.V.,,,1.0,,,,NL24190743,1.0
400,European Ageing Network,"Non-governmental organisations, platforms and networks and similar",,,,,,LULF6351,5.0
401,Europeana Foundation,"Non-governmental organisations, platforms and networks and similar",,3.0,,,,GB02745888,2.0
402,Mind the Bridge,"Non-governmental organisations, platforms and networks and similar",,7.0,MR CRISTIAN FERNANDO MOLARO,,,BE0696671123,2.0
403,Okta,Companies and groups,1858000.0,6013.0,"OKTA, INC.",1858.0,6013.0,US264175727,1.0
404,Avio S.p.A.,Companies and groups,435550.167428255,1148.0,AVIO SPA,436.0,1148.0,IT09105940960,2.0
405,Low Impact Fishers of Europe,Trade unions and professional associations,,1.0,,,,BE0713972359,2.0
406,Nokia,Companies and groups,26667120.4054356,86896.0,NOKIA OYJ,26667.0,86896.0,FI01120389,27.0
407,Polish Institute of International Affairs,,870.0,3.0,,,,US345038333L,2.0
408,Helsinki Foundation for Human Rights,"Non-governmental organisations, platforms and networks and similar",,,,,,,11.0
409,European Cultural Foundation,"Non-governmental organisations, platforms and networks and similar",,,,,,,3.0
410,"Bund für Umwelt und Naturschutz Deutschland, Landesverband Hamburg",,,20.0,,,,DE2150492339,2.0
411,ALPLA Werke Alwin Lehner GmbH & Co KG,Companies and groups,,1060.0,LEHNER FAMILY,,,AT9010001608,2.0
412,Avis Budget Group,,11994000.0,30500.0,"AVIS BUDGET GROUP, INC.",11994.0,30500.0,US060918165,1.0
413,Gasum Oy,Companies and groups,3461140.9377861,347.0,SUOMEN VALTIO/ALV,0.0,2.0,FI09698193,5.0
414,ABP Pensionfund,Companies and groups,,,,,,,2.0
415,Aspen Institute Deutschland e.V.,,,13.0,,,,DE2010166817,1.0
416,GMB trade union,,,,,,,,2.0
417,Formo Bio GmbH,Companies and groups,46.0905126040935,20.0,FORMO BIO GMBH,0.0,20.0,DE2012865284,1.0
418,Qatar Airways,,14369572.4056211,24000.0,GOVERNMENT OF QATAR,,,QA16070,1.0
419,La Française des Jeux,Companies and groups,2629487.71840334,3082.0,LA FRANCAISE DES JEUX,2629.0,3082.0,FR315065292,1.0
420,European Regulation and Innovation Forum,Think tanks and research institutions,,1.0,,,,BE0541789837,1.0
421,B2EU Consulting,,,2.0,MONSIEUR TURKIC AHMED,,,BE0648746985,1.0
422,WO=MEN Dutch Gender Platform,"Non-governmental organisations, platforms and networks and similar",,,,,,NL27293385,1.0
423,Samenwerkingsverband Noord-Nederland,,,,,,,NL01183237,1.0
424,Deutsches Verkehrsforum,Associations and networks of public authorities,,10.0,,,,DE2011376266,1.0
425,AMBER Alert Europe,"Non-governmental organisations, platforms and networks and similar",,,,,,NL57040559,1.0
426,NEWSGUARD TECHNOLOGIES EUROPE LIMITED,Companies and groups,,,"NEWSGUARD TECHNOLOGIES, INC.",0.0,3.0,IE702116,1.0
427,Vlaams Instituut voor de Zee,Think tanks and research institutions,18088.4329897869,133.0,,,,BE0466279196,1.0
428,"Západoslovenská distribučná, a.s.",Companies and groups,528298.686314428,1518.0,SLOVAKIAN REPUBLIC,,,SK36361518,4.0
429,ReAct - Action on Antibiotic Resistance,Academic institutions,,,,,,,3.0
