Name	City	Country
Kreab	Stockholm	SWEDEN
ARD-Verbindungsbüro Brüssel	Brüssel	BELGIUM
ELICA INTERCONNECTOR SINGLE MEMBER SA (COPELOUZOS GROUP)	ATHENS	GREECE
European Association of Paritarian Institutions of Social Protection	Bruxelles	BELGIUM
Stora Enso Oyj	Helsinki	FINLAND
Union Européenne des Médecins Spécialistes	Brussels	BELGIUM
Global Alliance on Health and Pollution	Geneva	SWITZERLAND
Aquafil SpA	ARCO	ITALY
COMMUNIA Association for the Public Domain	Brussels	BELGIUM
Institute for Digital fundamental rights	Paris	FRANCE
Citigroup Inc.	New York	UNITED STATES
ExchangeWire		
Japan Center for International Finance	Tokyo	JAPAN
Unie Vrijzinnige Verenigingen	Brussels	BELGIUM
Suomen Ylioppilaskuntien Liitto SYL ry	HELSINKI	FINLAND
Suomen nuorisoalan kattojärjestö Allianssi ry - The Finnish National Youth Council Allianssi	Helsinki	FINLAND
UNION DES INDUSTRIES TEXTILES	Paris	FRANCE
First Ukrainian International Bank	Kyiv	UKRAINE
Dataminr	New York	UNITED STATES
Conseil supérieur du notariat	Paris	FRANCE
bookdifferent bv		
Isabel NV		
Caterpillar Distribution Services Europe bv	Grimbergen	BELGIUM
Federation of European Motorcyclists' Associations	Brussel	BELGIUM
European Employers' Group of Professional Agricultural Organisations	Brussels	BELGIUM
Bruegel	Brussels	BELGIUM
Kaspersky Labs Limited	London	UNITED KINGDOM
Classifieds Marketplaces Europe	Bruxelles	BELGIUM
Bundesverband Güterkraftverkehr Logistik und Entsorgung (BGL) e. V.		
BELTUG vzw/asbl	SINT-NIKLAAS	BELGIUM
Sovereign Strategy		
MSC Cruises S.A.	Geneva	SWITZERLAND
Repsol, S.A.	Madrid	SPAIN
Lëtzebuerger Chrëschtleche Gewerkschafts-Bond	Luxembourg	LUXEMBOURG
BioNTech SE	Mainz	GERMANY
Blue Solutions		
Europex - Association of European Energy Exchanges	Brussels	BELGIUM
Association of European Border Regions	GRONAU	GERMANY
American Chamber of Commerce to the European Union	Brussels	BELGIUM
European Road Transport Research Advisory Council	Bruxelles	BELGIUM
Krauss-Maffei Wegmann GmbH & Co. KG	München	GERMANY
Naturschutzbund Deutschland e.V.	Berlin	GERMANY
Splunk	San Francisco, California	UNITED STATES
Public Private People Partnership Digital Innovation Hub		
European Democracy Consulting	Paris	FRANCE
World Fair Trade Organization - Europe	Brussels	BELGIUM
Défense des enfants - International Belgique	Bruxelles	BELGIUM
European Forum for Manufacturing	Brussels	BELGIUM
SSAB AB	Stockholm	SWEDEN
THE NATURE CONSERVANCY IN EUROPE gemeinnützige GmbH	Berlin	GERMANY
Institut d'études politiques de Paris (Sciences Po)	Paris	FRANCE
Clean Clothes Campaign / Stichting Schone Kleren Kampagne	Amsterdam	NETHERLANDS
ONE BABY!		
Animal Skincare Products Europe		
Snellmanin Lihanjalostus Oy	Pietarsaari	FINLAND
Neste Oyj	NESTE	FINLAND
GreenLight Biosciences	MEDFORD	UNITED STATES
fit4internet - Verein zur Steigerung der digitalen Kompetenzen in Österreich	Wien	AUSTRIA
Chanel Limited	Londres	UNITED KINGDOM
World Animal Protection	London	UNITED KINGDOM
European farmers	Bruxelles	BELGIUM
Royal Association of Netherlands' Shipowners	Rotterdam	NETHERLANDS
Asociación de Usuarios de la Comunicación	Madrid	SPAIN
Q&T s.r.l.		
Deutscher Anwaltverein (German Bar Association)	Berlin	GERMANY
Medienverband der freien Presse e.V.	Berlin	GERMANY
UNI Europa	Bruxelles	BELGIUM
World Travel & Tourism Council		
Atlantik-Brücke e.V.	Berlin	GERMANY
EBU-UER (European Broadcasting Union)	Brussels	BELGIUM
European Branded Clothing Alliance	Brussels	BELGIUM
ASSOCIACIO D'AMFITRIONS DE LLARS COMPARTIDES DE CATALUNYA	BARCELONA	SPAIN
M&G plc	London	UNITED KINGDOM
MINHA TERRA - Federação Portuguesa de Associações de Desenvolvimento Local	Lisboa	PORTUGAL
CLAI	Paris	FRANCE
DOT Europe	Brussels	BELGIUM
International Agriculture Campaign Fridays For Future		
Pelagic Freezer-trawler Association	Zoetermeer	NETHERLANDS
EIDD - Design for All Europe	Linz	AUSTRIA
Active Assisted Living Programme		
Asociación de Profesionales de las Relaciones Institucionales	Madrid	SPAIN
System Engineering Solutions 37 AB	Kristianstad	SWEDEN
Regenerative Society Foundation	Parma	ITALY
Public Power Corporation S.A.	Athens	GREECE
Ligue pour la Protection des Oiseaux/BirdLife France	ROCHEFORT CEDEX	FRANCE
Aifloo AB		
Nord Stream 2 AG		
European Jewish Community Centre	Bruxelles	BELGIUM
EUK Consulting	BRUSSELS	BELGIUM
GLOBSEC	Banská Bystrica	SLOVAKIA
Terre des Hommes International Federation	Cologny/Geneva	SWITZERLAND
Fagligt Fælles Forbund	København V	DENMARK
InoBat j.s.a.		
ICC BELGIQUE	Brussels	BELGIUM
TIAO SA	Brussels	BELGIUM
VR Ventures Management GmbH		
Fastned BV	Amsterdam	NETHERLANDS
HERMES INTERNATIONAL	PARIS	FRANCE
European observatory for democracy and peace		
Waymo	Mountain View	UNITED STATES
EuroTech Universities Alliance	Brussels	BELGIUM
Finance Norway	Oslo	NORWAY
Insurance Europe	Bruxelles	BELGIUM
Stichting Free Press Unlimited	Amsterdam	NETHERLANDS
Confédération Générale des Entreprises du Maroc	Casablanca	MOROCCO
Coöperatie Koninklijke Cosun U.A.	Breda	NETHERLANDS
King's College London		
European University Association	Brussels	BELGIUM
Ervia Limited	Cork	IRELAND
Meyer Burger Technology AG	Thun	SWITZERLAND
The Internet Corporation for Assigned Names and Numbers	Bruxelles	BELGIUM
Euroheat and Power	Brussels	BELGIUM
International Road Transport Union Permanent Delegation to the EU	GENEVA	SWITZERLAND
Mitsubishi Heavy Industries, Ltd.		
European Vending & Coffee Service Association	Brussels	BELGIUM
Masarykova univerzita	Brno	CZECH REPUBLIC
EUROCADRES - THE COUNCIL OF EUROPEAN PROFESSIONAL AND MANAGERIAL STAFF	BRUSSELS	BELGIUM
Ernst & Young Core Business Services BV	Diegem	BELGIUM
European Federation for Welding Joining and Cutting AISBL	Porto Salvo	PORTUGAL
Union Europeenne des Huissiers de Justice	SAINT GILLES	BELGIUM
Teollisuuden Voima Oyj	Eurajoki	FINLAND
FederlegnoArredo - Federazione Italiana delle Industrie del Legno, del Sughero, del Mobile e dell'Arredamento	Milano	ITALY
SuperNode Ltd	Dublin	IRELAND
solarge international bv	weert	NETHERLANDS
European Federation of Food, Agriculture and Tourism Trade Unions	Brussels	BELGIUM
Afrika-Verein der deutschen Wirtschaft e.V.	Hamburg	GERMANY
LNG Allies, The USLNG Association	Washington	UNITED STATES
Carlo Ratti Associati	Torino	ITALY
China-Europe Association for Technical and Economic Cooperation		
FUNDACIÓN FOROS DE LA CONCORDIA	ALCAÑIZ	SPAIN
Karlsruher Institut für Technologie	Karlsruhe	GERMANY
PRESTOMEDIA S.L.	Madrid	SPAIN
JSC Atomenergoprom		
Cleantech for Europe	Brussels	BELGIUM
Chevron Belgium BV	San Ramon, CA	UNITED STATES
DRUŠTVO SVETOVNO OMREŽJE ZA ZELENO INFRASTRUKTURO WGIN		
FuelsEurope	Brussels	BELGIUM
Initiative for Science in Europe	Strasbourg	FRANCE
EUROPEAN AUSTRALIAN BUSINESS COUNCIL	SYDNEY	AUSTRALIA
Österreichische Staatsdruckerei Holding AG	Vienna	AUSTRIA
Nederlandse Vereniging van Banken / Dutch Banking Association	Amsterdam	NETHERLANDS
Fondation Jean-Jaurès		
NORTH SWEDEN EUROPEAN OFFICE		
Cloudflare	San Francisco	UNITED STATES
International Federation for the Economy for the Common Good e. V.	Hamburg	GERMANY
SEATA Holdings Pty Ltd	CHARLESTOWN	AUSTRALIA
Irish Islands Marine Resource Organisation	Árainn Mhór Island	IRELAND
Freshfields Bruckhaus Deringer LLP	London	UNITED KINGDOM
BirdWatch Ireland		
Invesco Management SA	Luxembourg	LUXEMBOURG
Alinea, Avocats associés AARPI		
DELOITTE CONSEIL		
The Chancellor, Masters and Scholars of the University of Oxford	Oxford	UNITED KINGDOM
Association Européenne pour la Formation Professionnelle / European Vocational Training Association	Brussels	BELGIUM
Pensioenfonds Metaal en Techniek		
Asociación Española de Mayoristas, Transformadores, Importadores y Exportadores de Productos de la Pesca y la Acuicultura	Vigo	SPAIN
International Disability and Development Consortium	Brussels	BELGIUM
Arbeitsgemeinschaft deutscher Verkehrsflughäfen	Berlin	GERMANY
ASSOCIATION INTERNATIONALE DES MAIRES FRANCOPHONES	PARIS	FRANCE
Slovak National Hydrogen Association	Bratislava	SLOVAKIA
Allego B.V.	Arnhem	NETHERLANDS
EUROPEAN TRADE UNION CONFEDERATION	BRUXELLES	BELGIUM
European Network of Transmission System Operators for Gas	Brussels	BELGIUM
Motion Picture Association EMEA	Los Angeles	UNITED STATES
Okta	San Francisco	UNITED STATES
European Chamber of Commerce Taiwan	Taipei	TAIWAN
Confederation of Laboratories for Artificial Intelligence Research in Europe AISBL	The Hague	NETHERLANDS
PayPal Limited, Belgium Branch	Luxembourg	LUXEMBOURG
Aquaculture Advisory Council	Brussels	BELGIUM
Terma A/S	Lystrup	DENMARK
McLarty Associates	Washington, DC	UNITED STATES
Air Transport Action Group	Geneva 15	SWITZERLAND
Finance Sector Union	Oslo	NORWAY
Shopify Inc.	Ottawa	CANADA
Killybegs Fishermen's Organisation	Co Donegal	IRELAND
Finnish Transport and Logistics SKAL	Helsinki	FINLAND
Provincie Utrecht	UTRECHT	NETHERLANDS
VIER PFOTEN International	Wien	AUSTRIA
European Academies' Science Advisory Council	Halle (Saale)	GERMANY
