,Company name,Matched BvD ID,Matched company name
0,Kreab,SE5561463976,KREAB AB
1,ARD-Verbindungsbüro Brüssel,,
2,ELICA INTERCONNECTOR SINGLE MEMBER SA (COPELOUZOS GROUP),,
3,European Association of Paritarian Institutions of Social Protection,BE0461338532,ASSOC. EUROPEENNE DES INSTITUTIONS DE PROTECTION SOC. PARITAIRE (Alias: ASSOCIATION EUROPEENNE DES INSTITUTIONS DE PROTECTION SOCIALE PARITAIRE)
4,Stora Enso Oyj,FI10390508,STORA ENSO OYJ
5,Union Européenne des Médecins Spécialistes,BE0469067848,UNION EUROPEENNE DES MEDECINS SPECIALISTES
6,Global Alliance on Health and Pollution,CHCHE205592187,GLOBAL ALLIANCE ON HEALTH AND POLLUTION
7,Aquafil SpA,IT09652170961,AQUAFIL S.P.A.
8,COMMUNIA Association for the Public Domain,BE0843824873,COMMUNIA INTERNATIONAL ASSOCIATION ON THE PUBLIC DOMAIN
9,Institute for Digital fundamental rights,,
10,Citigroup Inc.,US521568099,CITIGROUP INC
11,ExchangeWire,GB07372309,EXCHANGEWIRE LTD
12,Japan Center for International Finance,JP4010005018834,JAPAN CENTER FOR INTERNATIONAL FINANCE
13,Unie Vrijzinnige Verenigingen,BE0408472839,UNIE VRIJZINNIGE VERENIGINGEN
14,Suomen Ylioppilaskuntien Liitto SYL ry,FI02023396,"SUOMEN YLIOPPILASKUNTIEN LIITTO (SYL) RY, FINLANDS STUDENTKAARERS FORBUND (FSF) RF (Alias: SUOMEN YLIOPPILASKUNTIEN LIITTO (SYL) RY.)"
15,Suomen nuorisoalan kattojärjestö Allianssi ry - The Finnish National Youth Council Allianssi,FI01165835,"SUOMEN NUORISOALAN KATTOJARJESTO ALLIANSSI RY, RUOTSIKSI UNGDOMSSEKTORNS TAKORGANISATION I FINLAND ALLIANS RF"
16,UNION DES INDUSTRIES TEXTILES,FR784357352,UNION INDUSTRIES TEXTILES
17,First Ukrainian International Bank,UA14282829,"JSC ""FUIB (Alias: JOINT STOCK COMPANY ""FIRST UKRAINIAN INTERNATIONAL BANK)"
18,Dataminr,US252158492L,DATAMINR INC
19,Conseil supérieur du notariat,FR784350134,CONSEIL SUPERIEUR DU NOTARIAT
20,bookdifferent bv,NL70357242,BOOKDIFFERENT B.V.
21,Isabel NV,BE0455530509,ISABEL
22,Caterpillar Distribution Services Europe bv,BE0466233567,CATERPILLAR DISTRIBUTION SERVICES EUROPE
23,Federation of European Motorcyclists' Associations,BE0469042609,FEDERATION OF EUROPEAN MOTORCYCLISTS' ASSOCIATIONS
24,European Employers' Group of Professional Agricultural Organisations,,
25,Bruegel,BE0867636096,BRUEGEL
