,TR ID,Name,Company name,BvD ID
0,140719522066-79,Canada Pension Plan Investment Board,Canada Pension Plan Investment Board,CA149198294L
1,409032241540-04,A2A,A2A,IT11957540153
2,478977744955-91,Mundys Group,Mundys Group,IT03731380261
3,366117914426-10,Amazon Europe Core SARL,Amazon Europe Core SARL,LULB180022
4,629866148906-50,PPF Group,PPF Group,CZ25099345
5,002977215945-85,Ryanair Holdings,Ryanair Holdings,IE249885
6,58272867322-27,Fastweb S.p.A.,Fastweb S.p.A.,IT12878470157
7,518095443081-20,"INDUSTRIA DE DISEÑO TEXTIL, S.A.","INDUSTRIA DE DISEÑO TEXTIL, S.A.",ESA15075062
8,588327811384-96,Apple Inc.,Apple Inc.,US942404110
9,51925911965-76,Philip Morris International Inc.,Philip Morris International Inc.,CHCHE105901856
10,00353757573-57,Citigroup Inc.,Citigroup Inc.,US521568099
11,39966101835-69,ELECTRICITE DE FRANCE,ELECTRICITE DE FRANCE,FR558501912
12,027879125039-56,LISEA,LISEA,FR525284790
13,60340504060-88,International Consolidated Airlines Group,International Consolidated Airlines Group,GBBOE00022613
14,09824113589-92,Merck Sharp & Dohme Europe Belgium SRL,Merck Sharp & Dohme Europe Belgium SRL,US221109110
15,9171899949-17,JPMorgan Chase & Co.,JPMorgan Chase & Co.,US132624428
16,082799927198-85,Kerry Group,Kerry Group,IE111471
17,461173445540-64,Aercap Holdings NV,Aercap Holdings NV,IE*110346934815
18,17804464809-28,Euronext,Euronext,FR*110136060541
19,755850612851-57,adidas AG,adidas AG,DE8190216927
20,51773601133-57,Volvo AB,Volvo AB,SE5560125790
21,11160169347-78,Aurubis AG,Aurubis AG,DE2150006872
22,482997418651-48,Boliden Group,Boliden Group,SE5560514142
23,458546625595-21,KGHM Polska Miedź Spółka Akcyjna,KGHM Polska Miedź Spółka Akcyjna,PL390021764
24,465898448454-02,Schaeffler AG,Schaeffler AG,DE8190034860
25,059134051904-87,Battolyser Systems,Battolyser Systems,NL90829492
26,0714344663-32,Lufthansa Group,Lufthansa,DE*110351141484
27,986044541551-20,Stellantis,Stellantis,NL60372958
28,365747616583-15,Spotify,Spotify,SE5567037485
29,679563449129-96,Nevomo Poland,Nevomo Poland,PL367110081
30,285162034736-01,Piaggio & C. S.p.A.,Piaggio & C. S.p.A.,IT04773200011
31,430008722431-29,LinkedIn Ireland,LinkedIn Ireland,IE477441
32,0801162959-21,Microsoft Corporation,Microsoft Corporation,US911144442
33,16595501800-80,Standard Chartered,Standard Chartered,GB00966425
34,72390466359-39,Barclays PLC,Barclays PLC,GB00048839
35,90142503473-81,Vodafone Belgium SA,Vodafone Belgium SA,BE0413652243
36,4447605981-76,Equinor ASA,Equinor ASA,NO923609016
37,369112941913-75,Linde plc,Linde plc,GB*I00024702448
38,148098251734-90,Zhero BV,Zhero BV,NL86483986
39,006687715492-92,Rabobank,Rabobank,NL04006978
40,709924636646-87,Europcar Mobility Group,Europcar Mobility Group,FR489099903
41,94857385769-70,AIR LIQUIDE,AIR LIQUIDE,FR552096281
42,115675443178-22,Stockholm Exergi,Stockholm Exergi,SE5560169095
43,23527541824-60,ArcelorMittal,ArcelorMittal,LULB82454
44,90947457424-20,ENGIE,ENGIE,FR542107651
45,364260236434-80,Oatly AB,Oatly AB,SE5564461043
46,068521543634-79,Trade Republic Bank GmbH,Trade Republic Bank GmbH,DE8171103802
47,0745650927-75,ExxonMobil Petroleum & Chemical,ExxonMobil Petroleum & Chemical,BE0454585748
48,91216972728-77,BOUYGUES EUROPE,BOUYGUES EUROPE,BE0843075104
49,114467111412-38,Huawei Technologies,Huawei Technologies,CN9360000140
50,46302264606-44,Schneider Electric,Schneider Electric,FR542048574
51,002278013515-26,Uber,Uber,NL56317441
52,105450620110-21,Orlen S.A.,Orlen S.A.,PL610188201
53,78787381113-69,BNP PARIBAS,BNP PARIBAS,FR662042449
54,80722695701-02,Muenchener Rueckversicherungs-Gesellschaft Aktiengesellschaft in Muenchen,Muenchener Rueckversicherungs-Gesellschaft Aktiengesellschaft in Muenchen,DEFEI1007130
55,4016736872-59,General Electric Company,General Electric Company,US140689340
56,05032108616-26,Shell Companies,Shell,GB04366849
57,7193977808-18,Bayerische Motoren Werke Aktiengesellschaft,Bayerische Motoren Werke Aktiengesellschaft,DE8170003036
58,427653644807-10,Daimler Truck AG,Daimler Truck AG,DE7331201747
59,5378003762-62,TOYOTA MOTOR EUROPE,TOYOTA MOTOR EUROPE,BE0441571714
60,206603551117-18,Hy24,Hy24,FR904275070
61,62505293737-81,Boeing International Corporation - Belgium Branch Office,Boeing International Corporation,US129800950L
62,481429647259-30,Wizz Air Group,Wizz Air Group,HU26648525
63,739494147829-49,"Altana Technologies, Inc.","Altana Technologies, Inc.",US325885454L
64,619792037234-03,Knauf Energy Solutions,Knauf Energy Solutions,BE0721470954
65,271912611231-56,Deutsche Bank AG,Deutsche Bank AG,DEFEB13216
66,515006352103-12,Alteryx,Alteryx,US900673106
67,400320250147-12,Just Eat Takeaway.com N.V.,Just Eat Takeaway.com N.V.,NL08142836
68,3394026642-58,BP p.l.c.,BP p.l.c.,GB00102498
69,326347337793-89,Medtronic,Medtronic,CHCHE105847257
70,99255639490-47,Telekom Austria AG,Telekom Austria AG,AT9110245031
71,987241938472-54,Wolt Enterprises,Wolt Enterprises,FI26466749
72,007895639418-81,"VeriSign, Inc.","VeriSign, Inc.",US943221585
73,03181945560-59,Google,Google,US134090555L
74,394491614001-72,Twitter International Unlimited Company,Twitter International Unlimited Company,IE503351
75,001866415031-87,HSBC Holdings PLC,HSBC Holdings PLC,GB00617987
76,05503341949-54,Allianz SE,Allianz SE,DEFEI1007380
77,090350412968-04,BANCO BILBAO VIZCAYA ARGENTARIA,BANCO BILBAO VIZCAYA ARGENTARIA,ESA48265169
78,746404949091-58,Nexi Group,Nexi,IT09489670969
79,03094871618-32,UniCredit,UniCredit,IT00348170101
80,389630949944-21,ARDIAN France,ARDIAN France,FR403201882
81,131108422116-29,MERIDIAM,MERIDIAM,FR483579389
82,750958052141-44,Cordiant Digital Infrastructure Management LLP,Cordiant Digital Infrastructure Management LLP,GBOC435237
83,372830552142-82,EQT Group,EQT,SE5568494180
84,696245752095-40,Macquarie Group,Macquarie Group,AU122169279
85,613925152082-56,DWS Group GmbH & Co. KGaA,DWS Group GmbH & Co. KGaA,DEFEB94720
86,28666427835-74,Meta Platforms Ireland Limited and its various subsidiaries,Meta Platforms Ireland Limited and its various subsidiaries,IE462932
87,110813748180-76,NorSun AS,NorSun AS,NO989186493
88,720168452131-03,HoloSolis SAS,HoloSolis SAS,FR911980274
89,6256831207-27,ENEL SpA,ENEL SpA,IT00811720580
90,502025440119-24,Ferroglobe,Ferroglobe,GB09425113
91,462849021886-85,KIC InnoEnergy SE,KIC InnoEnergy SE,NL51418886
92,615321649479-17,IBC SOLAR AG,IBC SOLAR AG,DE8070156049
93,923076644221-23,CRH plc,CRH plc,IE012965
94,81970148701-15,Heidelberg Materials (HeidelbergCement AG),Heidelberg Materials (HeidelbergCement AG),DE7050000100
95,831342717161-85,Lhoist,Lhoist,BE0459399522
96,278373226442-94,Northvolt,Northvolt,SE5590158894
97,609473539427-24,"THE NAVIGATOR COMPANY, S.A.","THE NAVIGATOR COMPANY, S.A.",PT503025798
98,633412048884-81,"Duslo, a.s.","Duslo, a.s.",SK35826487
99,911070620778-17,MYTILINEOS S.A.,MYTILINEOS S.A.,GR000757001000
100,822172345416-43,RWM,RWM,NL14132645
101,010822218390-62,The Kraft Heinz Company,The Kraft Heinz Company,GBML833622
102,608584041803-93,Coinbase,Coinbase,US281319188L
103,04268127542-74,FERRERO International,FERRERO International,LULB60814
104,08746491502-16,Tata Steel Nederland,Tata Steel Nederland,NL34005278
105,421020043222-94,Newsback,Newsback,FR891441099
106,349536342991-81,Achmea B.V.,Achmea B.V.,NL33235189
107,086621031693-51,DeepMind Technologies Limited,DeepMind Technologies Limited,GB07386350
108,743703446793-24,NOVUS AgroEcology BV,NOVUS AgroEcology BV,NL74859927
109,322223416295-50,EVN AG,EVN AG,AT9110000017
110,926990944642-94,Emerson Electric Co.,Emerson Electric Co.,US430259330
