"Commissioner","MemberName","Date","Location","Entity","Subject"
"Vytenis Andriukaitis","Marco Valletta
						            	|","11/11/2015","Brussels","WELLNESS FOUNDATION                                                         (WF)                                                   |","Preparation of a future meeting with the Commissioner in January 2016"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","04/11/2015","Brussels","Kellogg Company                                                   |                                                                                 European Breakfast Cereal Association                                                         (CEEREAL)                                                   |","Contaminants, including acrylamide"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","27/10/2015","Brussels","European Federation of National Organisations working with the Homeless                                                         (FEANTSA)                                                   |","Health inequalities within the homeless community, access to care"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","22/10/2015","Brussels","Axess Public Relations                                                         (Axess PR)                                                   |                                                                                 Associazione Volontari Italiani del Sangue Sede Nazionale                                                         (AVIS Nazionale)                                                   |","Action by AVIS on blood donations, Eu actions on blood"
"Vytenis Andriukaitis","Paula Duarte Gaspar
						            	|","20/10/2015","Brussels","EuroHealthNet                                                   |","Health in the EU Semester, health promotion and disease prevention"
"Vytenis Andriukaitis","Marco Valletta
						            	|","19/10/2015","Brussels","The Born Free Foundation                                                         (BFF)                                                   |","Animal welfare"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","15/10/2015","Brussels","Nestlé S.A.                                                         (Nestlé (SIX: NESN))                                                   |","Trans Fatty Acids"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","15/10/2015","Brussels, Belgium","European Business Summit Network                                                         (EBS)                                                   |","Planning of the EBS 2016 and possible participation of the Commissioner"
"Vytenis Andriukaitis","Arunas Vinciunas
						            	|","15/10/2015","Brussels, Belgium","British Chamber of Commerce in Belgium                                                   |","Speech: 1 year in  office"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","15/10/2015","Brussels","British Agriculture Bureau                                                         (BAB)                                                   |","Plant protection products"
"Vytenis Andriukaitis","Marco Valletta
						            	|","14/10/2015","Brussels","Istituto per la Competitività                                                         (I-Com)                                                   |","Medicated feed"
"Vytenis Andriukaitis","Nathalie Chaze
						            	|","14/10/2015","Brussels","The EU Vegetable Oil and Proteinmeal Industry                                                         (FEDIOL)                                                   |","Trans Fatty Acids"
