"","source","target","weight","Type"
"1",1,29,2,"Undirected"
"2",10,29,3,"Undirected"
"3",11,29,1,"Undirected"
"4",24,29,2,"Undirected"
"5",11,30,1,"Undirected"
"6",13,30,7,"Undirected"
"7",14,30,3,"Undirected"
"8",23,30,1,"Undirected"
"9",25,30,2,"Undirected"
"10",12,31,1,"Undirected"
"11",13,31,2,"Undirected"
"12",14,31,1,"Undirected"
"13",19,31,5,"Undirected"
"14",20,31,7,"Undirected"
"15",13,32,2,"Undirected"
"16",14,32,1,"Undirected"
"17",13,33,1,"Undirected"
"18",3,34,1,"Undirected"
"19",7,34,1,"Undirected"
"20",8,34,1,"Undirected"
"21",9,34,1,"Undirected"
"22",14,34,3,"Undirected"
"23",19,35,1,"Undirected"
"24",20,35,1,"Undirected"
"25",7,36,1,"Undirected"
"26",9,36,1,"Undirected"
"27",19,36,3,"Undirected"
"28",20,36,6,"Undirected"
"29",26,36,1,"Undirected"
"30",28,36,2,"Undirected"
"31",18,37,1,"Undirected"
"32",24,37,1,"Undirected"
"33",1,38,1,"Undirected"
"34",10,38,3,"Undirected"
"35",11,38,1,"Undirected"
"36",13,38,1,"Undirected"
"37",14,38,1,"Undirected"
"38",17,38,1,"Undirected"
"39",23,38,1,"Undirected"
"40",24,38,2,"Undirected"
"41",13,39,6,"Undirected"
"42",27,39,1,"Undirected"
"43",1,40,3,"Undirected"
"44",2,40,2,"Undirected"
"45",10,40,4,"Undirected"
"46",11,40,1,"Undirected"
"47",14,40,2,"Undirected"
"48",17,40,1,"Undirected"
"49",22,40,2,"Undirected"
"50",23,40,1,"Undirected"
"51",24,40,1,"Undirected"
"52",28,40,1,"Undirected"
"53",1,41,2,"Undirected"
"54",2,41,1,"Undirected"
"55",3,41,1,"Undirected"
"56",7,41,2,"Undirected"
"57",10,41,2,"Undirected"
"58",14,41,1,"Undirected"
"59",19,41,2,"Undirected"
"60",9,42,1,"Undirected"
"61",9,43,1,"Undirected"
"62",3,44,2,"Undirected"
"63",9,44,3,"Undirected"
"64",14,44,1,"Undirected"
"65",26,44,1,"Undirected"
"66",1,45,3,"Undirected"
"67",2,45,1,"Undirected"
"68",3,45,2,"Undirected"
"69",9,45,1,"Undirected"
"70",11,45,2,"Undirected"
"71",13,45,2,"Undirected"
"72",14,45,3,"Undirected"
"73",17,45,1,"Undirected"
"74",18,45,1,"Undirected"
"75",2,46,1,"Undirected"
"76",5,46,1,"Undirected"
"77",12,46,1,"Undirected"
"78",14,46,1,"Undirected"
"79",18,46,1,"Undirected"
"80",19,46,1,"Undirected"
"81",20,46,1,"Undirected"
"82",21,46,1,"Undirected"
"83",2,47,2,"Undirected"
"84",3,47,3,"Undirected"
"85",7,47,5,"Undirected"
