name,type,acronyms,Degree,Weighted Degree,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Weighted Clustering Coefficient,Strenght,Eigenvector Centrality,Eccentricity,Closeness Centrality,Betweenness Centrality
Andrus Ansip,euc,Andrus Ansip,247,358.0,0,0.02393485614406308,0,0.0,0,0.0,358.0,0.6364104993582168,5.0,2.770332717190388,198566.156061708
Carlos  Moedas,euc,Carlos  Moedas,177,220.0,1,0.017347313070427434,0,0.0,0,0.0,220.0,0.3964152791605532,3.0,2.8239371534195934,179396.6889069049
Cecilia Malmström,euc,Cecilia Malmström,285,366.0,3,0.027459246037247902,0,0.0,0,0.0,366.0,0.7060652320131059,3.0,2.7241219963031424,299551.16321044194
Christos Stylianides,euc,Christos Stylianides,20,33.0,1,0.0026100425033739392,0,0.0,0,0.0,33.0,0.018213949617397085,5.0,3.379390018484288,16333.638395953736
Corina Crețu,euc,Corina Crețu,37,41.0,6,0.0031551028787553323,0,0.0,0,0.0,41.0,0.08022466380155237,3.0,2.9533271719038816,24136.705965575722
Dimitris  Avramopoulos,euc,Dimitris  Avramopoulos,18,20.0,2,0.0016028531490875576,0,0.0,0,0.0,20.0,0.029307416565907553,5.0,3.0226432532347505,9966.685077837417
Elżbieta Bieńkowska,euc,Elżbieta Bieńkowska,231,313.0,3,0.021098313224933673,0,0.0,0,0.0,313.0,0.6604583458375696,5.0,2.7814232902033273,190774.41635313764
Federica Mogherini,euc,Federica Mogherini,84,108.0,2,0.008144195002654812,0,0.0,0,0.0,108.0,0.16969301539697726,3.0,2.9098890942698707,72813.25285202934
Frans Timmermans,euc,Frans Timmermans,200,253.0,4,0.017903940427930122,0,0.0,0,0.0,253.0,0.5135981405567387,3.0,2.8026802218114604,175661.3068863006
Günther H. Oettinger,euc,Günther H. Oettinger,324,579.0,0,0.038750559297848396,0,0.0,0,0.0,579.0,0.7986840832413417,3.0,2.6880776340110906,331130.55715722684
Jean-Claude Juncker,euc,Jean-Claude Juncker,242,304.0,5,0.019742348047666645,0,0.0,0,0.0,304.0,0.7138414651246534,3.0,2.7638632162661736,182981.41163269742
Johannes Hahn,euc,Johannes Hahn,28,32.0,6,0.002424840484197029,0,0.0,0,0.0,32.0,0.06632149007901622,5.0,2.9773567467652495,17133.728997408245
Jonathan Hill,euc,Jonathan Hill,257,446.0,7,0.03092765679733863,0,0.0,0,0.0,446.0,0.5382361764657428,5.0,2.7573937153419594,256745.20243843613
Jyrki Katainen,euc,Jyrki Katainen,364,523.0,8,0.035906785894369346,0,0.0,0,0.0,523.0,1.0,3.0,2.651109057301294,368151.97762380645
Karmenu  Vella,euc,Karmenu  Vella,143,224.0,4,0.01573854442659585,0,0.0,0,0.0,224.0,0.31247463382598356,3.0,2.8553604436229203,132851.95796493583
Kristalina Georgieva,euc,Kristalina Georgieva,14,15.0,12,0.0012078507382679274,0,0.0,0,0.0,15.0,0.02632085718549583,5.0,3.1649722735674675,7114.308331957635
Margrethe  Vestager,euc,Margrethe  Vestager,68,77.0,5,0.005361014615240875,0,0.0,0,0.0,77.0,0.18034937200141193,5.0,2.9468576709796674,38015.64108817656
Marianne Thyssen,euc,Marianne Thyssen,111,140.0,10,0.011122417637519503,0,0.0,0,0.0,140.0,0.20715095814451825,5.0,2.9006469500924212,104358.84113643163
Maroš Šefčovič,euc,Maroš Šefčovič,179,265.0,9,0.017663490320610258,0,0.0,0,0.0,265.0,0.44433925722665957,3.0,2.8220887245841033,141150.1281159534
Miguel  Arias Cañete,euc,Miguel  Arias Cañete,288,519.0,9,0.03574212772818117,0,0.0,0,0.0,519.0,0.6142170072625832,5.0,2.728743068391867,312256.83963190665
Neven Mimica,euc,Neven Mimica,57,67.0,1,0.005665090277408067,0,0.0,0,0.0,67.0,0.08582205431306078,5.0,2.938539741219963,54998.66262858883
Phil Hogan,euc,Phil Hogan,142,193.0,12,0.016075728364273935,0,0.0,0,0.0,193.0,0.20143449089699447,3.0,2.8562846580406656,152214.97010370524
Pierre Moscovici,euc,Pierre Moscovici,134,181.0,7,0.011672863434735437,0,0.0,0,0.0,181.0,0.3932947204333295,3.0,2.863678373382625,83609.29235781255
Tibor Navracsics,euc,Tibor Navracsics,162,214.0,0,0.018507684357160242,0,0.0,0,0.0,214.0,0.2766106344267016,5.0,2.8414972273567467,198311.6438995972
Valdis Dombrovskis,euc,Valdis Dombrovskis,141,174.0,10,0.01182014428335964,0,0.0,0,0.0,174.0,0.37589728087088453,3.0,2.8572088724584104,98654.49775010569
Violeta Bulc,euc,Violeta Bulc,187,286.0,11,0.023304265235588813,0,0.0,0,0.0,286.0,0.289247133839603,5.0,2.8220887245841033,226712.95144774014
Vytenis Andriukaitis,euc,Vytenis Andriukaitis,169,206.0,12,0.019008640015904715,0,0.0,0,0.0,206.0,0.21263896192940973,3.0,2.831330868761553,198019.84618465113
Věra Jourová,euc,Věra Jourová,175,239.0,2,0.016765909168920946,0,0.0,0,0.0,239.0,0.4246437366312821,3.0,2.825785582255083,153112.52779896292
Motion Picture Association (MPA),other,MPA,4,8.0,0,5.554682260752163E-4,0,0.0,0,0.0,8.0,0.07992044785776656,4.0,3.346580406654344,1305.7725944723884
BlackRock (BLK),other,BLK,5,14.0,7,8.818267834065477E-4,0,0.0,0,0.0,14.0,0.09912429225053887,4.0,3.286506469500924,1292.1063962048286
BP p.l.c. (BP),other,BP,5,16.0,9,0.0010022587673435544,0,0.0,0,0.0,16.0,0.08815376870163404,4.0,3.22181146025878,2666.1395220097634
Deutsches Aktieninstitut (DAI),other,DAI,2,3.0,7,2.4539172406667746E-4,0,0.0,0,0.0,3.0,0.05063515055680291,4.0,3.497227356746765,241.47838674670535
National Franchised Dealers Association (NFDA),other,NFDA,1,1.0,7,1.2818186306933215E-4,0,0.0,0,0.0,1.0,0.017982917025972687,6.0,3.756931608133087,0.0
"European Association of Mining Industries, Metal Ores & Industrial Minerals (Euromines)",other,Euromines,5,7.0,8,4.893566914408699E-4,0,0.0,0,0.0,7.0,0.10021165794334538,4.0,3.22550831792976,2052.874688491646
Landis+Gyr AG,other,Landis+Gyr AG,2,2.0,9,1.843876549175656E-4,0,0.0,0,0.0,2.0,0.03528075580389744,4.0,3.6395563770794825,102.89619544163703
EURELECTRIC aisbl (EURELECTRIC),other,EURELECTRIC,6,14.0,9,8.958097430500272E-4,0,0.0,0,0.0,14.0,0.09790100640713906,4.0,3.1719038817005547,4438.15963067718
EF Education First (EF),other,EF,2,2.0,10,2.1023476782770274E-4,0,0.0,0,0.0,2.0,0.01649409609668398,6.0,3.7504621072088726,387.6240289323035
Federation of European Publishers (FEP-FEE),other,FEP-FEE,8,11.0,0,7.298018179629671E-4,0,0.0,0,0.0,11.0,0.14938099702236723,4.0,2.966728280961183,6679.461272694653
Which?,other,Which?,2,7.0,7,5.010595147003606E-4,0,0.0,0,0.0,7.0,0.025580617192897573,4.0,3.599815157116451,1417.6885258962077
European Competitive Telecommuniations Association (ECTA),other,ECTA,10,18.0,0,0.001161208571794821,0,0.0,0,0.0,18.0,0.16579829482565306,4.0,2.8382624768946396,12720.75568166225
ORGALIME (ORGALIME),other,ORGALIME,7,11.0,9,7.13277813479655E-4,0,0.0,0,0.0,11.0,0.15271324837000436,4.0,2.9279112754158967,5383.717427619551
Association Européenne de la Pensée Libre -Europe (AEPL-EU),other,AEPL-EU,1,1.0,4,1.293905976054767E-4,0,0.0,0,0.0,1.0,0.016933514755561686,4.0,3.8022181146025877,0.0
