"","id","name","type","acronyms"
"1",1,"Andrus Ansip","euc","Andrus Ansip"
"2",2,"Carlos  Moedas","euc","Carlos  Moedas"
"3",3,"Cecilia Malmström","euc","Cecilia Malmström"
"4",4,"Christos Stylianides","euc","Christos Stylianides"
"5",5,"Corina Crețu","euc","Corina Crețu"
"6",6,"Dimitris  Avramopoulos","euc","Dimitris  Avramopoulos"
"7",7,"Elżbieta Bieńkowska","euc","Elżbieta Bieńkowska"
"8",8,"Federica Mogherini","euc","Federica Mogherini"
"9",9,"Frans Timmermans","euc","Frans Timmermans"
"10",10,"Günther H. Oettinger","euc","Günther H. Oettinger"
"11",11,"Jean-Claude Juncker","euc","Jean-Claude Juncker"
"12",12,"Johannes Hahn","euc","Johannes Hahn"
"13",13,"Jonathan Hill","euc","Jonathan Hill"
"14",14,"Jyrki Katainen","euc","Jyrki Katainen"
"15",15,"Karmenu  Vella","euc","Karmenu  Vella"
"16",16,"Kristalina Georgieva","euc","Kristalina Georgieva"
"17",17,"Margrethe  Vestager","euc","Margrethe  Vestager"
"18",18,"Marianne Thyssen","euc","Marianne Thyssen"
"19",19,"Maroš Šefčovič","euc","Maroš Šefčovič"
"20",20,"Miguel  Arias Cañete","euc","Miguel  Arias Cañete"
"21",21,"Neven Mimica","euc","Neven Mimica"
"22",22,"Phil Hogan","euc","Phil Hogan"
"23",23,"Pierre Moscovici","euc","Pierre Moscovici"
"24",24,"Tibor Navracsics","euc","Tibor Navracsics"
"25",25,"Valdis Dombrovskis","euc","Valdis Dombrovskis"
"26",26,"Violeta Bulc","euc","Violeta Bulc"
"27",27,"Vytenis Andriukaitis","euc","Vytenis Andriukaitis"
"28",28,"Věra Jourová","euc","Věra Jourová"
"29",29,"Motion Picture Association (MPA)","other","MPA"
"30",30,"BlackRock (BLK)","other","BLK"
"31",31,"BP p.l.c. (BP)","other","BP"
"32",32,"Deutsches Aktieninstitut (DAI)","other","DAI"
"33",33,"National Franchised Dealers Association (NFDA)","other","NFDA"
"34",34,"European Association of Mining Industries, Metal Ores & Industrial Minerals (Euromines)","other","Euromines"
"35",35,"Landis+Gyr AG","other","Landis+Gyr AG"
"36",36,"EURELECTRIC aisbl (EURELECTRIC)","other","EURELECTRIC"
"37",37,"EF Education First (EF)","other","EF"
"38",38,"Federation of European Publishers (FEP-FEE)","other","FEP-FEE"
"39",39,"Which?","other","Which?"
"40",40,"European Competitive Telecommuniations Association (ECTA)","other","ECTA"
"41",41,"ORGALIME (ORGALIME)","other","ORGALIME"
"42",42,"Association Européenne de la Pensée Libre -Europe (AEPL-EU)","other","AEPL-EU"
"43",43,"OSCE","other","OSCE"
"44",44,"Vereniging VNO-NCW (VNO-NCW)","other","VNO-NCW"
"45",45,"European Round Table of Industrialists (ERT)","other","ERT"
"46",46,"CEMBUREAU - The European Cement Association (CEMBUREAU)","other","CEMBUREAU"
"47",47,"European Chemical Industry Council (Cefic)","other","Cefic"
"48",48,"IKEA Services B.V. (IKEA)","other","IKEA"
"49",49,"Metsäliitto Cooperative (Metsä Group)","other","Metsä Group"
"50",50,"OXFAM INTERNATIONAL EU ADVOCACY OFFICE (OXFAM INTERNATIONAL)","other","OXFAM INTERNATIONAL"
"51",51,"Centre de liaison des industries transformatrices de viande de l'UE (CLITRAVI)","other","CLITRAVI"
"52",52,"Alstom","other","Alstom"
"53",53,"Orange","other","Orange"
"54",54,"Union of European Football Associations (UEFA)","other","UEFA"
"55",55,"Swiss Federal Councillor and Head of the Federal Department of Home Affairs, Mr Alain Berset","other","Swiss Federal Councillor and Head of the Federal Department of Home Affairs, Mr Alain Berset"
"56",56,"British Agriculture Bureau (BAB)","other","BAB"
"57",57,"Koninklijke Philips (Philips)","other","Philips"
"58",58,"Portia Ltd (PORTIA)","other","PORTIA"
"59",59,"Confederation of British Industry (CBI)","other","CBI"
"60",60,"EUPPORTUNITY (QB, Lda.) (EUPPORTUNITY)","other","EUPPORTUNITY"
"61",61,"Ford Motor Company (FMC)","other","FMC"
"62",62,"Medtronic (MDT)","other","MDT"
"63",63,"COBATY International","other","COBATY International"
"64",64,"CC-Portugal - Câmara de Comércio e Industria Portuguesa (Câmara de Comércio)","other","Câmara de Comércio"
"65",65,"Naftogaz of Ukraine","other","Naftogaz of Ukraine"
"66",66,"Centre for Fine Arts (BOZAR)","other","BOZAR"
"67",67,"European Council on Foreign Relations (ECFR)","other","ECFR"
"68",68,"Handelsblatt GmbH","other","Handelsblatt GmbH"
"69",69,"News Corporation (News Corp)","other","News Corp"
"70",70,"Tata Consultancy Services (TCS)","other","TCS"
"71",71,"Time Warner Inc.","other","Time Warner Inc."
"72",72,"Vodafone Belgium SA (VBSA)","other","VBSA"
"73",73,"Hong Kong Non-Governmental Fund Committee (CEFC)","other","CEFC"
"74",74,"Association Française des Entreprises Privées (AFEP)","other","AFEP"
"75",75,"British Bankers' Association (BBA)","other","BBA"
"76",76,"British Chamber of Commerce in Belgium","other","British Chamber of Commerce in Belgium"
"77",77,"EuroCommerce","other","EuroCommerce"
"78",78,"Neth-ER (Neth-ER)","other","Neth-ER"
"79",79,"Deutsche Bank AG (DB)","other","DB"
"80",80,"Cruise Lines International Association Europe (CLIA Europe)","other","CLIA Europe"
"81",81,"EUROPEAN BUSINESS AVIATION ASSOCIATION (EBAA)","other","EBAA"
"82",82,"Gesamtverband der Deutschen Versicherungswirtschaft e.V. (GDV)","other","GDV"
